stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,002699,-8.507,12.539,1.375
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,002173,-3.786,17.232,1.479
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,002164,87.389,71.513,1.127
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,000757,46.964,33.638,1.136
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,000421,115.483,87.151,1.266
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,002371,88.803,56.652,1.134
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,601231,28.794,26.269,1.314
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,603733,17.678,45.448,1.268
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,603976,47.158,43.176,1.21
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,000411,72.425,60.408,1.126
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,000026,-1.484,12.924,1.23
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,002315,10.427,23.159,1.266
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,002082,53.36,55.257,1.109
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,601108,31.048,24.066,1.219
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,600531,95.655,73.835,1.204
stock_date,stock_index,kdjj,rsi_6,boll_ratio
