date,us_total,us_tongbi,us_huanbi,gold_total,gold_tongbi,gold_huanbi
2012年03月份,33049.71,8.55%,-0.14%,3389.00,0.00%,0.00%
2012年02月份,33096.57,10.64%,1.72%,3389.00,0.00%,0.00%
2012年01月份,32536.31,10.98%,2.28%,3389.00,0.00%,0.00%
2011年12月份,31811.48,11.72%,-1.23%,3389.00,0.00%,0.00%
2011年11月份,32209.07,16.37%,-1.62%,3389.00,0.00%,0.00%
2011年10月份,32737.96,18.58%,2.25%,3389.00,0.00%,0.00%
2011年09月份,32016.83,20.90%,-1.86%,3389.00,0.00%,0.00%
2011年08月份,32624.99,28.05%,0.53%,3389.00,0.00%,0.00%
2011年07月份,32452.83,27.82%,1.49%,3389.00,0.00%,0.00%
2011年06月份,31974.91,30.28%,0.99%,3389.00,0.00%,0.00%
2011年05月份,31659.97,29.78%,0.64%,3389.00,0.00%,0.00%
2011年04月份,31458.43,26.31%,3.32%,3389.00,0.00%,0.00%
2011年03月份,30446.74,24.42%,1.78%,3389.00,0.00%,0.00%
2011年02月份,29913.86,23.38%,2.04%,3389.00,0.00%,0.00%
2011年01月份,29316.74,21.38%,2.96%,3389.00,0.00%,0.00%
2010年12月份,28473.38,18.68%,2.87%,3389.00,0.00%,0.00%
2010年11月份,27678.09,15.87%,0.25%,3389.00,0.00%,0.00%
2010年10月份,27608.99,18.58%,4.25%,3389.00,0.00%,0.00%
2010年09月份,26483.03,16.53%,3.94%,3389.00,0.00%,0.00%
2010年08月份,25478.38,15.24%,0.35%,3389.00,0.00%,0.00%
2010年07月份,25388.94,16.75%,3.45%,3389.00,0.00%,0.00%
2010年06月份,24542.75,15.14%,0.61%,3389.00,0.00%,0.00%
2010年05月份,24395.06,16.75%,-2.05%,3389.00,0.00%,0.00%
2010年04月份,24905.12,23.98%,1.77%,3389.00,0.00%,0.00%
2010年03月份,24470.84,25.25%,0.93%,3389.00,75.69%,0.00%
2010年02月份,24245.91,26.80%,0.39%,3389.00,75.69%,0.00%
2010年01月份,24152.21,26.22%,0.67%,3389.00,75.69%,0.00%
2009年12月份,23991.52,23.28%,0.43%,3389.00,75.69%,0.00%
2009年11月份,23887.88,26.75%,2.60%,3389.00,75.69%,0.00%
2009年10月份,23282.72,23.86%,2.45%,3389.00,75.69%,0.00%
2009年09月份,22725.95,19.26%,2.79%,3389.00,75.69%,0.00%
2009年08月份,22108.27,17.34%,1.67%,3389.00,75.69%,0.00%
2009年07月份,21746.18,17.85%,2.02%,3389.00,75.69%,0.00%
2009年06月份,21316.06,17.84%,2.02%,3389.00,75.69%,0.00%
2009年05月份,20894.91,16.28%,4.01%,3389.00,75.69%,0.00%
2009年04月份,20088.80,14.36%,2.82%,3389.00,75.69%,75.69%
2009年03月份,19537.41,16.14%,2.18%,1929.00,0.00%,0.00%
2009年02月份,19120.66,16.08%,-0.07%,1929.00,0.00%,0.00%
2009年01月份,19134.56,20.36%,-1.67%,1929.00,0.00%,0.00%
2008年12月份,19460.30,27.34%,3.25%,1929.00,0.00%,0.00%
2008年11月份,18847.17,25.91%,0.27%,1929.00,0.00%,0.00%
2008年10月份,18796.88,29.20%,-1.36%,1929.00,0.00%,0.00%
2008年09月份,19055.85,32.92%,1.14%,1929.00,0.00%,0.00%
2008年08月份,18841.53,33.76%,2.11%,1929.00,0.00%,0.00%
2008年07月份,18451.64,33.21%,2.01%,1929.00,0.00%,0.00%
2008年06月份,18088.28,35.73%,0.66%,1929.00,0.00%,0.00%
