stock_index,stock_name,current_zhuli_ratio,avg_ratio_7_days
2739,万达电影,0.35,0.352
2221,东华能源,0.35,0.331
300476,胜宏科技,0.35,0.329
889,中嘉博创,0.35,0.308
603185,上机数控,0.35,0.407
300618,寒锐钴业,0.348,0.366
603993,洛阳钼业,0.348,0.388
300433,蓝思科技,0.348,0.395
600362,江西铜业,0.348,0.37
2299,圣农发展,0.347,0.392
2385,大北农,0.347,0.366
601000,唐山港,0.347,0.398
601108,财通证券,0.347,0.326
600307,酒钢宏兴,0.347,0.411
667,美好置业,0.346,0.42
601127,小康股份,0.346,0.372
600808,马钢股份,0.346,0.362
2042,华孚时尚,0.346,0.344
300526,中潜股份,0.346,0.358
50,深天马Ａ,0.345,0.324
300136,信维通信,0.345,0.345
2176,*ST江特,0.345,0.397
601985,中国核电,0.345,0.34
601816,京沪高铁,0.345,0.42
301,东方盛虹,0.345,0.356
600363,联创光电,0.345,0.331
2612,朗姿股份,0.345,0.334
300822,贝仕达克,0.344,0.29
600989,宝丰能源,0.344,0.343
300070,碧水源,0.344,0.36
55,方大集团,0.344,0.244
600105,永鼎股份,0.343,0.27
2926,华西证券,0.343,0.311
2586,*ST围海,0.343,0.171
2912,中新赛克,0.343,0.281
300280,紫天科技,0.343,0.288
600029,南方航空,0.343,0.334
601016,节能风电,0.342,0.29
2050,三花智控,0.342,0.349
783,长江证券,0.342,0.31
603444,吉比特,0.342,0.281
300460,惠伦晶体,0.342,0.256
2638,*ST勤上,0.342,0.38
600085,同仁堂,0.341,0.335
983,山西焦煤,0.341,0.363
737,ST南风,0.341,0.277
600739,辽宁成大,0.34,0.298
2928,华夏航空,0.34,0.296
601866,中远海发,0.34,0.288
528,柳    工,0.339,0.338
300669,沪宁股份,0.339,0.328
2453,华软科技,0.339,0.299
600018,上港集团,0.338,0.338
893,亚钾国际,0.338,0.302
600568,*ST中珠,0.338,0.321
2010,传化智联,0.338,0.347
600522,中天科技,0.338,0.346
800,一汽解放,0.338,0.366
600703,三安光电,0.336,0.375
2002,鸿达兴业,0.336,0.343
2440,闰土股份,0.335,0.279
2110,三钢闽光,0.335,0.364
601099,太平洋,0.335,0.337
601766,中国中车,0.334,0.353
600143,金发科技,0.334,0.356
688390,固德威,0.334,0.376
601618,中国中冶,0.334,0.356
2977,天箭科技,0.334,0.361
688256,寒武纪-U,0.333,0.237
601919,中远海控,0.333,0.368
739,普洛药业,0.333,0.281
601179,中国西电,0.333,0.27
300587,天铁股份,0.332,0.267
300630,普利制药,0.332,0.294
2228,合兴包装,0.332,0.256
2249,大洋电机,0.332,0.328
688333,铂力特,0.332,0.346
600466,蓝光发展,0.332,0.333
2600,领益智造,0.332,0.303
601377,兴业证券,0.331,0.33
601028,玉龙股份,0.331,0.269
2063,远光软件,0.331,0.323
877,天山股份,0.331,0.35
2028,思源电气,0.331,0.367
300390,天华超净,0.331,0.35
300088,长信科技,0.331,0.31
707,ST双环,0.331,0.277
2019,亿帆医药,0.331,0.356
600282,南钢股份,0.33,0.333
797,中国武夷,0.33,0.242
600009,上海机场,0.33,0.358
300068,南都电源,0.33,0.336
300604,长川科技,0.33,0.298
600926,杭州银行,0.33,0.327
2124,天邦股份,0.33,0.321
300408,三环集团,0.33,0.329
878,云南铜业,0.329,0.355
2847,盐津铺子,0.329,0.391
2195,二三四五,0.329,0.313
300782,卓胜微,0.329,0.385
300676,华大基因,0.329,0.339
49,德赛电池,0.329,0.31
2099,海翔药业,0.329,0.337
2390,信邦制药,0.329,0.266
2138,顺络电子,0.328,0.309
3005,竞业达,0.328,0.22
603986,兆易创新,0.328,0.407
2439,启明星辰,0.328,0.316
2175,ST东网,0.328,0.369
600710,苏美达,0.328,0.29
2503,搜于特,0.328,0.34
2371,北方华创,0.327,0.372
600760,中航沈飞,0.327,0.336
300158,振东制药,0.327,0.278
778,新兴铸管,0.327,0.329
300180,华峰超纤,0.327,0.31
600593,大连圣亚,0.327,0.321
2081,金 螳 螂,0.326,0.299
426,兴业矿业,0.326,0.32
600256,广汇能源,0.326,0.284
90,天健集团,0.326,0.281
600517,国网英大,0.326,0.359
2118,紫鑫药业,0.325,0.314
592,平潭发展,0.325,0.381
2356,*ST赫美,0.325,0.324
581,威孚高科,0.325,0.336
601117,中国化学,0.324,0.329
420,吉林化纤,0.324,0.313
150,宜华健康,0.324,0.143
600426,华鲁恒升,0.324,0.305
300696,爱乐达,0.324,0.217
2488,金固股份,0.324,0.253
601838,成都银行,0.324,0.349
657,中钨高新,0.323,0.289
600696,ST岩石,0.323,0.352
300010,豆神教育,0.323,0.293
601155,新城控股,0.322,0.361
786,北新建材,0.322,0.321
600690,海尔智家,0.322,0.313
300315,掌趣科技,0.322,0.339
2665,首航高科,0.322,0.395
300033,同花顺,0.322,0.338
2414,高德红外,0.321,0.274
688389,普门科技,0.321,0.254
2677,浙江美大,0.321,0.192
300188,美亚柏科,0.321,0.282
300723,一品红,0.321,0.273
300482,万孚生物,0.321,0.275
2174,游族网络,0.321,0.25
300058,蓝色光标,0.321,0.313
698,沈阳化工,0.321,0.314
600103,青山纸业,0.321,0.326
2068,黑猫股份,0.32,0.243
596,古井贡酒,0.32,0.317
2400,省广集团,0.32,0.322
690,宝新能源,0.32,0.295
600089,特变电工,0.32,0.364
2128,露天煤业,0.32,0.311
2122,*ST天马,0.319,0.296
603613,国联股份,0.319,0.29
300219,鸿利智汇,0.319,0.255
300595,欧普康视,0.319,0.314
600890,中房股份,0.319,0.183
688179,阿拉丁,0.319,0.213
600871,石化油服,0.319,0.32
300271,华宇软件,0.319,0.25
2424,贵州百灵,0.318,0.302
2311,海大集团,0.318,0.304
2382,蓝帆医疗,0.317,0.326
2233,塔牌集团,0.317,0.316
600588,用友网络,0.317,0.29
2065,东华软件,0.317,0.311
688516,奥特维,0.317,0.275
2422,科伦药业,0.317,0.317
543,皖能电力,0.317,0.315
300492,华图山鼎,0.317,0.319
560,我爱我家,0.316,0.294
600115,东方航空,0.316,0.323
601168,西部矿业,0.316,0.341
2598,山东章鼓,0.316,0.196
300369,绿盟科技,0.316,0.283
837,*ST秦机,0.316,0.246
603678,火炬电子,0.316,0.281
600743,华远地产,0.316,0.219
987,越秀金控,0.315,0.281
680,山推股份,0.315,0.345
300145,中金环境,0.315,0.295
300266,兴源环境,0.315,0.246
2312,三泰控股,0.315,0.299
600122,*ST宏图,0.315,0.326
300529,健帆生物,0.315,0.334
600567,山鹰国际,0.314,0.314
600216,浙江医药,0.314,0.294
600660,福耀玻璃,0.314,0.315
603306,华懋科技,0.314,0.327
600383,金地集团,0.314,0.373
2545,东方铁塔,0.314,0.349
300020,银江股份,0.313,0.265
2268,卫 士 通,0.313,0.246
938,紫光股份,0.313,0.342
2410,广联达,0.313,0.288
300002,神州泰岳,0.313,0.278
662,*ST天夏,0.313,0.298
2202,金风科技,0.313,0.376
2241,歌尔股份,0.312,0.362
300017,网宿科技,0.312,0.277
300413,芒果超媒,0.312,0.298
59,华锦股份,0.312,0.317
66,中国长城,0.312,0.385
601375,中原证券,0.312,0.297
300536,农尚环境,0.311,0.242
300151,昌红科技,0.311,0.291
806,*ST银河,0.311,0.31
600406,国电南瑞,0.311,0.341
601225,陕西煤业,0.311,0.326
601162,天风证券,0.311,0.283
2456,欧菲光,0.311,0.295
600183,生益科技,0.311,0.345
2939,长城证券,0.311,0.286
918,嘉凯城,0.311,0.342
603520,司太立,0.311,0.267
2127,南极电商,0.311,0.319
718,苏宁环球,0.311,0.356
601975,招商南油,0.31,0.34
2653,海思科,0.31,0.289
688202,美迪西,0.31,0.318
402,金 融 街,0.31,0.23
300657,弘信电子,0.31,0.273
2239,奥特佳,0.31,0.286
2266,浙富控股,0.31,0.277
2647,仁东控股,0.309,0.318
762,西藏矿业,0.309,0.316
600596,新安股份,0.309,0.351
300682,朗新科技,0.308,0.228
2269,美邦服饰,0.308,0.374
300357,我武生物,0.308,0.273
2139,拓邦股份,0.307,0.273
2106,莱宝高科,0.307,0.277
564,*ST大集,0.307,0.407
603129,春风动力,0.306,0.207
601018,宁波港,0.306,0.303
627,天茂集团,0.306,0.253
42,中洲控股,0.305,0.207
600106,重庆路桥,0.305,0.27
601628,中国人寿,0.305,0.304
2203,海亮股份,0.305,0.351
2157,正邦科技,0.304,0.324
967,盈峰环境,0.304,0.305
601860,紫金银行,0.304,0.27
300558,贝达药业,0.304,0.287
601311,骆驼股份,0.304,0.267
603026,石大胜华,0.304,0.328
688200,华峰测控,0.304,0.349
2637,赞宇科技,0.303,0.271
2075,沙钢股份,0.303,0.334
882,华联股份,0.303,0.327
860,顺鑫农业,0.303,0.269
600771,广誉远,0.303,0.253
688198,佰仁医疗,0.303,0.225
603351,威尔药业,0.303,0.195
2409,雅克科技,0.302,0.321
601218,吉鑫科技,0.302,0.291
601366,利群股份,0.302,0.234
300475,聚隆科技,0.302,0.228
300383,光环新网,0.302,0.274
981,*ST银亿,0.302,0.333
600188,兖州煤业,0.301,0.384
300241,瑞丰光电,0.301,0.233
615,奥园美谷,0.301,0.351
300003,乐普医疗,0.301,0.325
767,晋控电力,0.301,0.299
400,许继电气,0.301,0.299
636,风华高科,0.3,0.337
600606,绿地控股,0.3,0.297
600008,首创股份,0.3,0.301
