601888,600887,600519,603288,300498,000333,000651,002027,002714,000858,row_sum,dates
-0.025,-0.013,-0.007,0.04,-0.024,0.003,0.008,0.013,-0.0,-0.022,-0.026,2020-09-08
-0.036,-0.018,-0.014,-0.06,-0.042,-0.031,-0.018,-0.073,-0.043,-0.023,-0.358,2020-09-09
0.041,-0.009,0.01,0.008,0.004,0.016,0.002,-0.009,-0.003,0.028,0.089,2020-09-10
0.008,0.001,0.016,0.006,0.005,0.004,0.005,0.051,-0.011,0.021,0.104,2020-09-11
0.033,0.005,0.019,-0.013,-0.002,0.027,0.008,-0.001,-0.002,0.01,0.081,2020-09-14
0.037,0.023,-0.003,0.021,-0.005,0.034,0.009,0.041,0.007,0.001,0.165,2020-09-15
-0.024,-0.021,-0.02,-0.014,-0.017,-0.011,-0.013,-0.007,-0.043,-0.019,-0.19,2020-09-16
-0.024,-0.025,-0.033,-0.016,-0.014,0.013,-0.005,0.014,-0.018,-0.015,-0.122,2020-09-17
0.018,0.03,0.014,0.003,0.021,-0.005,0.015,0.046,0.016,0.03,0.19,2020-09-18
-0.033,-0.021,-0.017,-0.008,-0.012,-0.004,0.016,-0.027,-0.02,-0.021,-0.146,2020-09-21
-0.011,0.002,-0.001,-0.008,-0.018,-0.002,-0.019,0.005,-0.013,-0.009,-0.073,2020-09-22
0.05,0.006,-0.01,0.016,0.005,0.017,0.0,0.009,0.022,-0.016,0.098,2020-09-23
-0.021,-0.025,-0.013,-0.013,-0.019,-0.009,-0.022,-0.049,-0.011,-0.014,-0.195,2020-09-24
0.028,0.006,0.004,0.006,-0.011,-0.002,-0.004,0.042,0.003,0.004,0.075,2020-09-25
0.025,0.002,0.016,-0.003,-0.023,0.008,-0.021,-0.005,-0.046,0.013,-0.033,2020-09-28
-0.003,0.003,-0.005,0.009,0.012,0.021,0.001,0.021,0.045,-0.002,0.102,2020-09-29
-0.006,0.005,0.01,0.023,-0.02,0.002,0.005,0.01,0.0,0.006,0.035,2020-09-30
-0.092,0.045,0.016,0.006,0.006,0.011,0.026,-0.002,-0.02,0.029,0.025,2020-10-09
0.037,0.033,0.031,0.054,0.037,0.008,0.019,0.043,0.043,0.059,0.364,2020-10-12
0.01,-0.005,-0.007,0.002,0.009,0.025,0.002,0.062,0.068,0.002,0.168,2020-10-13
-0.023,0.008,-0.006,-0.007,-0.025,-0.009,0.029,0.045,-0.043,-0.012,-0.043,2020-10-14
-0.031,-0.008,-0.002,-0.003,-0.012,0.011,0.006,-0.023,-0.022,-0.002,-0.087,2020-10-15
0.003,-0.006,-0.008,-0.016,0.004,-0.017,-0.004,0.018,-0.014,-0.009,-0.049,2020-10-16
-0.017,-0.026,-0.008,-0.032,-0.009,0.003,-0.008,-0.014,-0.014,-0.003,-0.128,2020-10-19
-0.0,0.032,0.02,0.039,-0.002,0.017,0.007,0.014,0.009,0.02,0.156,2020-10-20
-0.023,0.008,-0.0,-0.005,-0.006,0.015,0.006,0.023,-0.025,0.003,-0.004,2020-10-21
0.002,0.007,0.005,-0.0,-0.023,0.012,0.01,-0.045,-0.025,-0.0,-0.058,2020-10-22
-0.015,-0.042,-0.016,-0.024,0.003,-0.044,-0.005,0.009,-0.032,-0.022,-0.187,2020-10-23
-0.04,0.023,-0.044,-0.014,-0.017,0.02,-0.002,0.049,0.02,-0.017,-0.021,2020-10-26
-0.005,-0.004,-0.011,0.012,-0.007,-0.013,-0.017,-0.02,0.013,0.004,-0.047,2020-10-27
0.069,0.041,0.024,0.009,-0.014,0.013,0.001,0.047,-0.015,0.027,0.201,2020-10-28
0.01,0.026,0.007,0.007,0.05,0.055,0.006,-0.017,0.023,0.04,0.208,2020-10-29
-0.005,-0.111,-0.004,-0.044,-0.027,-0.043,0.014,-0.052,-0.016,-0.023,-0.311,2020-10-30
-0.026,-0.048,0.002,0.008,-0.012,0.066,0.029,0.031,0.014,0.005,0.071,2020-11-02
0.017,0.031,0.012,-0.005,0.011,-0.01,-0.003,-0.001,-0.004,0.019,0.068,2020-11-03
0.023,0.009,0.003,0.009,-0.005,0.036,0.035,-0.004,-0.007,0.01,0.109,2020-11-04
-0.012,0.001,0.013,0.038,0.011,0.005,0.01,0.05,0.01,0.025,0.152,2020-11-05
-0.019,-0.015,-0.013,0.007,-0.009,0.045,0.054,0.004,-0.017,-0.0,0.036,2020-11-06
0.016,0.016,0.024,-0.006,0.019,0.006,0.017,-0.032,0.014,0.04,0.114,2020-11-09
-0.077,-0.015,0.001,-0.006,0.016,-0.012,-0.026,0.004,-0.012,0.01,-0.115,2020-11-10
-0.004,0.008,-0.008,-0.004,-0.018,-0.018,-0.001,-0.014,-0.005,-0.015,-0.077,2020-11-11
0.059,-0.006,0.002,-0.017,-0.015,0.028,0.023,-0.006,-0.035,-0.005,0.027,2020-11-12
-0.019,-0.018,-0.017,-0.01,-0.004,-0.001,-0.002,-0.018,0.028,-0.01,-0.071,2020-11-13
-0.032,-0.003,0.014,-0.003,0.035,-0.013,0.008,0.007,0.038,0.029,0.081,2020-11-16
-0.03,-0.007,-0.008,-0.014,0.003,0.006,0.023,0.0,-0.007,-0.014,-0.048,2020-11-17
-0.033,0.009,-0.013,0.009,-0.001,-0.007,-0.026,0.004,0.003,-0.02,-0.074,2020-11-18
0.044,0.019,0.015,0.009,0.025,0.05,0.018,-0.015,0.034,0.004,0.204,2020-11-19
0.009,0.004,-0.0,0.008,-0.012,-0.026,0.0,0.025,-0.03,0.014,-0.009,2020-11-20
0.015,0.007,0.039,-0.011,-0.011,0.02,0.005,-0.023,-0.013,0.015,0.044,2020-11-23
0.028,-0.021,-0.015,0.004,-0.002,-0.031,-0.022,-0.026,0.006,-0.003,-0.081,2020-11-24
-0.023,-0.024,-0.021,-0.025,-0.008,-0.012,0.0,0.004,0.002,-0.034,-0.141,2020-11-25
0.012,0.009,0.004,0.005,0.006,-0.029,-0.006,0.013,0.032,-0.009,0.037,2020-11-26
0.01,0.005,0.002,0.011,0.019,0.009,0.003,0.003,0.028,0.007,0.097,2020-11-27
0.0,-0.013,-0.014,-0.017,-0.016,-0.011,-0.0,0.027,-0.002,-0.033,-0.08,2020-11-30
0.014,0.02,0.013,0.036,0.004,0.012,0.008,0.053,0.016,0.015,0.192,2020-12-01
-0.002,-0.0,0.001,0.009,0.01,0.022,0.034,0.017,0.012,0.01,0.112,2020-12-02
-0.003,0.01,0.006,0.028,0.001,-0.003,-0.015,-0.01,-0.002,0.004,0.016,2020-12-03
0.008,0.021,0.025,0.057,-0.008,-0.014,0.007,-0.004,-0.012,0.021,0.101,2020-12-04
