stock_index,stock_name,yeji_predict,_c3,stock_date
925,众合科技,业绩大幅上升,净利润14100万元至19035万元_增长幅度为422%至605%,2020-01-31
931,中关村,业绩预盈,净利润9000万元至10000万元_增长幅度为-3.37%至7.37%,2020-01-20
936,华西股份,业绩大幅上升,净利润51356万元至57776万元_增长幅度为60%至80%,2020-01-17
958,东方能源,业绩大幅上升,净利润24960.00万元左右_增长幅度为79.57%左右,2020-01-18
961,中南建设,业绩大幅上升,净利润394700万元至460500万元_增长幅度为80%至110%,2020-01-14
965,天保基建,业绩大幅上升,净利润16000万元至20000万元_增长幅度为66.49%至108.11%,2020-01-21
966,长源电力,业绩大幅上升,净利润55200万元至61400万元_增长幅度为164.51%至194.22%,2020-01-08
976,华铁股份,业绩大幅上升,净利润32000万元至33000万元_增长幅度为120%至127%,2020-01-17
987,越秀金控,业绩大幅上升,净利润112500万元至119300万元_增长幅度为150%至165%,2020-01-18
987,越秀金控,业绩大幅上升,净利润344505万元至354505万元_增长幅度为1146%至1182%,2020-03-28
988,华工科技,业绩大幅上升,净利润49000万元至54000万元_增长幅度为72.77%至90.40%,2020-01-20
2010,传化智联,业绩大幅上升,净利润140000万元至157000万元_增长幅度为70.94%至91.70%,2020-01-17
2012,凯恩股份,业绩大幅上升,净利润3800万元至5100万元_增长幅度为53%至106%,2020-01-21
2015,协鑫能科,业绩大幅上升,净利润50000万元至65000万元_增长幅度为50.68%至95.88%,2020-01-16
2028,思源电气,业绩大幅上升,净利润6062.4万元至9000万元_增长幅度为200%至345.37%,2020-03-31
2039,黔源电力,业绩大幅上升,净利润4112.94万元至6169.41万元_增长幅度为500%至800%,2020-03-27
2047,宝鹰股份,业绩预盈,净利润19957.68万元至29936.51万元_增长幅度为-30%至5%,2020-01-11
2082,万邦德,业绩大幅上升,净利润15000.00万元至21000.00万元_增长幅度为78.40%至149.76%,2020-01-18
2100,天康生物,业绩大幅上升,净利润60000万元至70000万元_增长幅度为91.25%至123.12%,2020-01-17
2107,沃华医药,业绩大幅上升,净利润3654.48万元至4466.58万元_增长幅度为170%至230%,2020-03-18
2107,沃华医药,业绩大幅上升,净利润8902.0425万元至11047.6630万元_增长幅度为95%至142%,2020-01-09
2112,三变科技,业绩大幅上升,净利润850万元至1150万元_增长幅度为35.22%至82.95%,2020-01-20
2136,安纳达,业绩大幅上升,净利润1700万元至2500万元_增长幅度为119.50%至222.80%,2020-02-29
2141,贤丰控股,业绩预盈,净利润512万元至753万元_增长幅度为-27.27%至6.69%,2020-01-31
2145,中核钛白,业绩大幅上升,净利润12951.34万元至16728.81万元_增长幅度为20%至55%,2020-03-31
2157,正邦科技,业绩大幅上升,净利润160000万元至180000万元_增长幅度为727.20%至830.60%,2020-01-20
2163,中航三鑫,业绩大幅上升,净利润4000万元至5500万元_增长幅度为22.52%至68.46%,2020-01-11
2174,游族网络,业绩大幅上升,净利润31100万元至34556万元_增长幅度为80%至100%,2020-02-29
2182,云海金属,业绩大幅上升,净利润80_000万元至85_000万元_增长幅度为142.79%至157.96%,2020-01-20
2204,大连重工,业绩大幅上升,净利润3700万元至5500万元_增长幅度为140.37%至257.31%,2020-01-11
2204,大连重工,业绩大幅上升,净利润600万元至900万元_增长幅度为28.72%至93.08%,2020-03-30
2230,科大讯飞,业绩大幅上升,净利润73178.91万元至89440.89万元_增长幅度为35%至65%,2020-02-03
2239,奥特佳,业绩大幅上升,净利润8365万元至12129万元_增长幅度为110.16%至204.73%,2020-02-03
2250,联化科技,业绩大幅上升,净利润13500.00万元至18500.00万元_增长幅度为259.70%至392.92%,2020-01-23
