003019,1.397
601008,1.23
600428,2.028
600689,0.705
601919,1.778
600733,0.81
605007,-1.103
605338,-0.729
601127,1.57
600199,1.609
600189,0.619
002813,0.972
002646,1.262
002040,1.176
605333,1.89
002553,1.484
000560,0.666
002172,1.556
601866,1.34
600798,1.566
000523,1.275
000615,0.58
601228,0.932
000545,1.678
605008,1.094
002664,1.666
000625,1.301
000582,1.173
000811,0.551
605088,0.88
002621,0.6
603986,0.794
601698,1.342
000155,0.604
000537,1.034
603109,0.526
601968,1.413
600989,1.102
603558,0.29
600737,1.15
600026,1.59
002342,1.034
002878,0.791
600166,0.767
000961,0.35
605358,1.535
605018,2.194
600258,0.304
600335,0.534
000153,1.585
600071,0.79
600543,2.02
000338,1.08
603733,1.049
600280,0.418
601339,1.38
601018,1.199
603031,0.721
002975,1.435
002466,0.779
600017,0.763
605366,1.164
002592,0.649
002496,0.099
002142,1.23
002021,0.75
000820,-0.095
000088,2.253
002716,0.383
600805,0.404
603167,1.659
600619,0.777
600255,0.377
002875,1.119
600754,-0.038
600300,1.149
000029,1.017
600121,1.03
600006,0.78
600628,0.718
002353,0.775
600823,0.596
002206,0.819
600290,-0.055
000687,0.564
600109,1.723
601326,0.82
000507,1.006
002240,0.792
003009,0.963
601872,1.388
000905,1.072
002232,1.503
000923,0.891
000727,0.67
600383,0.85
002978,0.959
000868,0.71
600525,1.066
600340,0.876
603013,0.407
601598,2.168
603825,0.912
002856,0.722
002651,0.829
002239,1.584
600785,0.619
000877,1.371
000715,0.885
603515,0.59
000667,0.638
002125,0.789
002292,1.518
000530,0.69
600375,0.331
600960,1.365
002536,0.945
600584,1.28
603155,1.981
600073,1.377
600257,1.077
603565,1.78
002320,1.427
002163,0.989
600738,1.097
002454,1.13
603002,1.489
601808,1.068
600067,0.812
603321,0.843
600048,0.72
002639,0.649
002860,0.748
600136,1.997
600717,0.75
600703,1.49
601000,0.966
600122,0.579
000911,1.235
603225,0.857
600481,2.021
601500,0.116
600328,1.385
600063,1.164
002909,1.903
000797,0.815
002284,1.47
000708,0.991
002004,0.748
600782,0.652
002154,0.983
002721,0.954
600817,0.759
601702,1.75
002087,0.917
600507,0.891
002366,0.898
002244,1.006
600926,0.709
601298,0.873
601975,0.96
002238,1.13
603982,1.115
600470,0.256
002068,1.194
000895,1.07
603005,1.019
002042,0.754
000550,1.749
600466,0.788
002965,0.702
001979,0.925
601965,1.329
605136,2.117
000897,0.839
002146,0.964
603856,1.335
600804,1.622
601880,0.833
000752,0.57
603536,0.358
000800,1.093
600279,0.756
000690,0.666
002751,0.978
600146,0.704
600418,0.979
000957,1.773
000959,1.197
002510,1.99
002715,0.74
605050,1.246
600741,0.891
002186,1.294
605255,0.847
000601,1.361
000610,0.764
000001,1.386
000780,-0.11
603040,0.702
603050,1.059
002629,-0.093
000931,0.881
600695,2.14
601456,2.232
605066,1.098
601218,0.64
000002,0.568
601878,1.775
603599,0.815
605009,1.065
600183,1.34
600208,1.031
605399,1.467
002132,2.724
600158,0.996
601208,0.523
002191,0.856
601838,0.939
603008,1.468
600970,0.769
600735,0.266
000651,0.532
002885,1.277
600313,1.04
002283,1.323
002441,0.914
000971,-0.122
000930,1.179
002645,0.773
603686,1.176
003000,1.719
002601,2.048
603578,0.684
002760,0.689
603319,1.01
603997,1.724
600029,0.935
000926,0.796
002708,0.817
002822,0.453
600345,0.877
603161,1.262
600129,0.724
600317,0.595
000613,0.869
600333,1.346
603667,0.655
600167,0.803
603214,1.085
601111,0.985
600004,0.557
000856,1.173
002371,1.25
002756,1.186
603297,1.06
601200,0.976
000027,1.105
600596,0.794
600171,1.047
601021,1.078
002462,0.799
002051,0.925
000598,0.6
000069,0.777
600233,0.842
600460,1.041
600748,1.072
002401,1.194
000965,0.771
603156,0.537
601187,2.556
600299,0.832
002192,0.454
000581,0.727
603129,0.388
601999,0.977
002919,0.166
603829,0.573
603681,0.545
600012,0.294
603618,0.775
603466,0.266
600657,0.991
002022,1.243
002765,0.701
600213,1.719
000678,1.004
000851,1.853
000822,1.514
603316,0.257
600076,0.592
002256,0.747
000541,0.767
603979,0.4
002891,0.612
002319,0.306
600036,1.087
002185,1.113
002778,0.949
603555,0.081
600696,0.622
600723,1.215
002355,1.451
000410,0.218
002899,1.065
600325,0.934
000031,1.134
600559,1.417
