stock_date,stock_index,kdjj
2020-08-03,600814,38.277
2020-08-03,601058,38.345
2020-08-03,600685,38.419
2020-08-03,601600,38.529
2020-08-03,600354,38.534
2020-08-03,603015,38.557
2020-08-03,603223,38.561
2020-08-03,600061,38.614
2020-08-03,600642,38.657
2020-08-03,600758,38.956
2020-08-03,600115,39.037
2020-08-03,600084,39.057
2020-08-03,600741,39.253
2020-08-03,600549,39.388
2020-08-03,600321,39.409
2020-08-03,600466,39.482
2020-08-03,601900,39.563
2020-08-03,603189,39.586
2020-08-03,600004,39.611
2020-08-03,600239,39.797
2020-08-03,600865,39.874
2020-08-03,600104,39.888
2020-08-03,600624,40.01
2020-08-03,603559,40.035
2020-08-03,600783,40.194
2020-08-03,601658,40.195
2020-08-03,600635,40.241
2020-08-03,600217,40.243
2020-08-03,600322,40.256
2020-08-03,600221,40.45
2020-08-03,600769,40.612
2020-08-03,600050,40.668
2020-08-03,601006,40.738
2020-08-03,601118,40.81
2020-08-03,603725,40.865
2020-08-03,601628,40.919
2020-08-03,601766,40.966
2020-08-03,600883,41.004
2020-08-03,600928,41.095
2020-08-03,600785,41.119
2020-08-03,601009,41.23
2020-08-03,603039,41.239
2020-08-03,600838,41.27
2020-08-03,600900,41.282
2020-08-03,600400,41.295
2020-08-03,600604,41.622
2020-08-03,601606,41.847
2020-08-03,603136,41.869
2020-08-03,600307,42.044
2020-08-03,600547,42.177
2020-08-03,603613,42.319
2020-08-03,600657,42.335
2020-08-03,600025,42.339
2020-08-03,600638,42.38
2020-08-03,600234,42.462
2020-08-03,601233,42.507
2020-08-03,603138,42.563
2020-08-03,603256,42.738
2020-08-03,600550,43.018
2020-08-03,600067,43.203
2020-08-03,600391,43.268
2020-08-03,600999,43.321
2020-08-03,601021,43.353
2020-08-03,603711,43.38
2020-08-03,600068,43.438
2020-08-03,601688,43.544
2020-08-03,600960,43.701
2020-08-03,600197,43.772
2020-08-03,600817,43.8
2020-08-03,600760,43.808
2020-08-03,603032,43.845
2020-08-03,600389,43.913
2020-08-03,601788,44.044
2020-08-03,600038,44.244
2020-08-03,600170,44.269
2020-08-03,600387,44.29
2020-08-03,601336,44.349
2020-08-03,603506,44.363
2020-08-03,600525,44.397
2020-08-03,601117,44.481
2020-08-03,600403,44.554
2020-08-03,600722,44.669
2020-08-03,600621,44.714
2020-08-03,601366,44.801
2020-08-03,600064,44.843
2020-08-03,600094,44.904
2020-08-03,603788,44.919
2020-08-03,600355,44.975
2020-08-03,600291,44.979
2020-08-03,601077,44.993
2020-08-03,603315,45.109
2020-08-03,601500,45.144
2020-08-03,600528,45.167
2020-08-03,603003,45.238
2020-08-03,603585,45.241
2020-08-03,600639,45.31
2020-08-03,600111,45.417
2020-08-03,600312,45.574
2020-08-03,603599,45.667
2020-08-03,603658,45.703
2020-08-03,603103,45.706
2020-08-03,603289,45.759
2020-08-03,600091,45.851
2020-08-03,603590,45.901
2020-08-03,603860,45.936
2020-08-03,603279,46.077
2020-08-03,600718,46.079
2020-08-03,600836,46.25
2020-08-03,600155,46.265
2020-08-03,600540,46.302
2020-08-03,600023,46.418
2020-08-03,600022,46.434
2020-08-03,600822,46.565
2020-08-03,600338,46.578
2020-08-03,600139,46.718
2020-08-03,600708,46.74
2020-08-03,603508,46.815
2020-08-03,600649,47.05
2020-08-03,603719,47.073
2020-08-03,603986,47.09
2020-08-03,603321,47.18
2020-08-03,600059,47.196
2020-08-03,600282,47.353
2020-08-03,600962,47.36
2020-08-03,600510,47.576
2020-08-03,600869,47.579
2020-08-03,600169,47.896
2020-08-03,600566,47.931
2020-08-03,601128,47.932
2020-08-03,603121,48.08
2020-08-03,600661,48.087
2020-08-03,600395,48.094
2020-08-03,600125,48.104
2020-08-03,600605,48.199
2020-08-03,600919,48.309
2020-08-03,600926,48.352
2020-08-03,603393,48.416
2020-08-03,603558,48.561
2020-08-03,600754,48.564
2020-08-03,600446,48.695
2020-08-03,601212,48.72
2020-08-03,600006,48.817
2020-08-03,600209,48.972
2020-08-03,603078,49.064
2020-08-03,600495,49.179
2020-08-03,600720,49.213
2020-08-03,601869,49.261
2020-08-03,601512,49.305
2020-08-03,600898,49.471
2020-08-03,603203,49.54
2020-08-03,600271,49.601
2020-08-03,600506,49.665
2020-08-03,600580,49.685
2020-08-03,601199,49.818
2020-08-03,600533,49.843
2020-08-03,600743,49.899
2020-08-03,600505,49.978
2020-08-03,603687,49.981
2020-08-03,603686,50.146
2020-08-03,600393,50.152
2020-08-03,603569,50.258
2020-08-03,600853,50.435
2020-08-03,600879,50.726
2020-08-03,600099,50.879
2020-08-03,600600,50.898
2020-08-03,600137,50.9
2020-08-03,601236,50.9
2020-08-03,603578,50.917
2020-08-03,600368,50.956
2020-08-03,603703,50.963
2020-08-03,601010,50.999
2020-08-03,600509,51.047
2020-08-03,603127,51.056
2020-08-03,600498,51.095
2020-08-03,603881,51.174
2020-08-03,600383,51.267
2020-08-03,600121,51.449
2020-08-03,600707,51.554
2020-08-03,600184,51.558
2020-08-03,600158,51.624
2020-08-03,600107,51.741
2020-08-03,603992,51.805
2020-08-03,600715,51.809
2020-08-03,600831,51.834
2020-08-03,603879,51.923
2020-08-03,603012,51.943
2020-08-03,603317,51.955
2020-08-03,600728,52.045
2020-08-03,603689,52.19
2020-08-03,603298,52.248
2020-08-03,603358,52.296
2020-08-03,600784,52.364
2020-08-03,603838,52.403
2020-08-03,600532,52.405
2020-08-03,600820,52.444
2020-08-03,600681,52.535
2020-08-03,603035,52.587
2020-08-03,601002,52.642
2020-08-03,600082,52.685
2020-08-03,603017,52.733
2020-08-03,600643,52.77
2020-08-03,600311,52.802
2020-08-03,603383,52.82
2020-08-03,601872,52.83
2020-08-03,600359,52.944
2020-08-03,603912,53.013
2020-08-03,600892,53.021
2020-08-03,600128,53.056
2020-08-03,603116,53.124
2020-08-03,600173,53.14
2020-08-03,600487,53.259
2020-08-03,600578,53.289
2020-08-03,603399,53.296
2020-08-03,601200,53.34
2020-08-03,600545,53.36
2020-08-03,600241,53.386
2020-08-03,601158,53.427
2020-08-03,600835,53.473
2020-08-03,600079,53.484
2020-08-03,600765,53.611
2020-08-03,603776,53.664
2020-08-03,600756,53.919
2020-08-03,601169,53.982
2020-08-03,603758,54.0
2020-08-03,600880,54.026
2020-08-03,600571,54.122
2020-08-03,600755,54.134
2020-08-03,601880,54.149
2020-08-03,600874,54.174
2020-08-03,600361,54.224
2020-08-03,601991,54.348
2020-08-03,603389,54.434
2020-08-03,600683,54.436
2020-08-03,601966,54.46
2020-08-03,603616,54.527
2020-08-03,600834,54.546
2020-08-03,600301,54.576
2020-08-03,600582,54.721
2020-08-03,600665,54.737
2020-08-03,601519,54.787
2020-08-03,600845,54.8
2020-08-03,600177,54.824
2020-08-03,601990,54.829
2020-08-03,601881,54.847
2020-08-03,601717,54.948
2020-08-03,601777,54.992
2020-08-03,601700,55.009
2020-08-03,600243,55.049
2020-08-03,600787,55.079
2020-08-03,600151,55.207
2020-08-03,603778,55.44
2020-08-03,600628,55.453
2020-08-03,600456,55.536
2020-08-03,600481,55.557
2020-08-03,603960,55.563
2020-08-03,600123,55.58
2020-08-03,600083,55.594
2020-08-03,603630,55.731
2020-08-03,600116,55.753
2020-08-03,600012,55.761
2020-08-03,600425,55.941
2020-08-03,600039,56.082
2020-08-03,603006,56.093
2020-08-03,600595,56.12
2020-08-03,603596,56.262
2020-08-03,601689,56.262
2020-08-03,603227,56.262
2020-08-03,600373,56.273
2020-08-03,600255,56.28
2020-08-03,603297,56.376
2020-08-03,600716,56.418
2020-08-03,603583,56.606
2020-08-03,600886,56.684
2020-08-03,600071,56.786
2020-08-03,600997,56.837
2020-08-03,603336,56.85
2020-08-03,601001,56.971
2020-08-03,600026,57.097
2020-08-03,603833,57.141
2020-08-03,601599,57.229
2020-08-03,600168,57.241
2020-08-03,600193,57.274
2020-08-03,600388,57.308
2020-08-03,600830,57.311
2020-08-03,603038,57.497
2020-08-03,601828,57.567
2020-08-03,600397,57.658
2020-08-03,603186,57.705
2020-08-03,603360,57.89
2020-08-03,601886,57.905
2020-08-03,600366,58.092
2020-08-03,600629,58.111
2020-08-03,600739,58.125
2020-08-03,603225,58.133
2020-08-03,600198,58.16
2020-08-03,600622,58.161
2020-08-03,603180,58.174
2020-08-03,600007,58.205
2020-08-03,603815,58.262
2020-08-03,600320,58.282
2020-08-03,600165,58.421
2020-08-03,600415,58.443
2020-08-03,600691,58.446
2020-08-03,600761,58.524
2020-08-03,601099,58.534
2020-08-03,600033,58.69
2020-08-03,600971,58.76
2020-08-03,603677,58.767
2020-08-03,603533,58.792
2020-08-03,600278,58.804
2020-08-03,603880,58.852
2020-08-03,600365,58.895
2020-08-03,600507,58.91
2020-08-03,600573,58.961
2020-08-03,603198,59.248
2020-08-03,603868,59.25
2020-08-03,600138,59.337
2020-08-03,601177,59.344
2020-08-03,601898,59.386
2020-08-03,601985,59.499
2020-08-03,603927,59.528
2020-08-03,600269,59.539
2020-08-03,600551,59.575
2020-08-03,603528,59.679
2020-08-03,601699,59.884
2020-08-03,600704,59.918
2020-08-03,603348,60.001
2020-08-03,600658,60.173
2020-08-03,600458,60.252
2020-08-03,600325,60.312
2020-08-03,600287,60.316
2020-08-03,603516,60.382
2020-08-03,603260,60.488
2020-08-03,601188,60.648
2020-08-03,600897,60.66
2020-08-03,600586,60.796
2020-08-03,601138,60.844
2020-08-03,600216,60.89
2020-08-03,600702,60.894
2020-08-03,600815,61.116
2020-08-03,600736,61.118
2020-08-03,600826,61.209
2020-08-03,603338,61.277
2020-08-03,600323,61.293
2020-08-03,600250,61.313
2020-08-03,600512,61.373
2020-08-03,603993,61.383
2020-08-03,603199,61.406
2020-08-03,603662,61.419
2020-08-03,603086,61.459
2020-08-03,601918,61.495
2020-08-03,600843,61.503
2020-08-03,601816,61.581
2020-08-03,600671,61.736
2020-08-03,600790,61.827
2020-08-03,600695,61.842
2020-08-03,600499,61.973
2020-08-03,603823,62.045
2020-08-03,600797,62.141
