stk1,stk2,corr,slope,stock_index
603811,600841,1.0,-0.0999755859375,600841
603811,002407,0.99,-0.2159423828125,002407
603811,000403,0.98,-0.285888671875,000403
603811,603218,1.0,1.224609375,603218
603811,600618,0.99,-0.042999267578125,600618
603811,600209,0.96,0.284912109375,600209
603811,002302,0.96,0.55615234375,002302
603811,002101,1.0,-0.050994873046875,002101
603811,002289,1.0,-0.07501220703125,002289
603811,603885,0.97,-0.061004638671875,603885
603811,600879,0.99,-0.093994140625,600879
603811,002488,0.96,-0.058990478515625,002488
603811,002608,0.96,0.16796875,002608
603811,002213,0.99,-0.0980224609375,002213
603811,601886,0.96,0.035003662109375,601886
603811,000713,0.96,0.0160064697265625,000713
603811,002852,1.0,3.830078125,002852
603811,600280,0.96,-0.053009033203125,600280
603811,600685,0.99,-0.280029296875,600685
603811,000663,0.96,-0.1300048828125,000663
603811,600162,0.96,-0.0189971923828125,600162
603811,000525,0.99,0.08001708984375,000525
603811,600779,0.97,0.277099609375,600779
603811,600589,0.97,-0.053009033203125,600589
603811,002428,0.96,-0.114013671875,002428
603811,002511,0.99,0.1290283203125,002511
603811,600223,0.97,-0.009002685546875,600223
603811,000530,0.98,-0.1300048828125,000530
603811,603222,0.99,-0.155029296875,603222
603811,603811,1.0,2.068359375,603811
603811,600470,0.99,-0.050994873046875,600470
603811,002179,0.99,-0.1810302734375,002179
603811,002367,1.0,0.032012939453125,002367
603811,603023,1.0,-0.136962890625,603023
603811,600760,0.99,-1.1513671875,600760
603811,600249,0.96,-0.024993896484375,600249
603811,603318,0.99,-0.024993896484375,603318
603811,603716,0.97,0.5419921875,603716
603811,600377,0.96,0.032012939453125,600377
603811,000564,1.0,0.006999969482421875,000564
603811,600208,0.99,-0.0160064697265625,600208
603811,600480,1.0,-0.0189971923828125,600480
603811,002403,0.96,-0.055999755859375,002403
603811,000671,0.98,-0.0570068359375,000671
603811,002758,1.0,0.09698486328125,002758
603811,603328,0.96,-0.0,603328
603811,600226,0.98,-0.01300048828125,600226
603811,002167,0.98,-0.045013427734375,002167
603811,000831,0.97,-0.0110015869140625,000831
603811,001979,0.98,-0.208984375,001979
603811,600857,0.99,0.14794921875,600857
603811,000590,0.96,0.07098388671875,000590
603811,000988,0.98,-0.1319580078125,000988
603811,002209,1.0,-0.343994140625,002209
603811,601388,0.96,-0.005001068115234375,601388
603811,000836,0.99,-0.0010004043579101562,000836
603811,000333,1.0,0.1529541015625,000333
603811,000606,0.99,-0.280029296875,000606
603811,600766,0.97,0.218994140625,600766
603811,002368,0.98,-0.1199951171875,002368
603811,002613,0.97,-0.032989501953125,002613
603811,002449,0.98,0.04901123046875,002449
603811,600525,0.97,0.01000213623046875,600525
603811,600230,0.99,-0.31298828125,600230
603811,002684,0.97,0.26904296875,002684
603811,603366,0.97,-0.1300048828125,603366
603811,000705,0.97,-0.01000213623046875,000705
603811,000968,1.0,0.0360107421875,000968
603811,002225,0.99,-0.0030002593994140625,002225
603811,000877,1.0,0.424072265625,000877
603811,600803,0.99,-0.024993896484375,600803
603811,002601,0.99,0.024993896484375,002601
603811,000715,0.99,-0.1409912109375,000715
603811,002069,0.96,0.08197021484375,002069
603811,600477,0.97,0.0269927978515625,600477
603811,000927,0.98,0.005001068115234375,000927
603811,000701,0.97,0.00800323486328125,000701
603811,002117,0.97,-0.01200103759765625,002117
603811,600546,0.99,-0.0149993896484375,600546
