DATE,MARKET,SCODE,SECNAME,RZYE,RQYL,RZRQYE,RQYE,RQMCL,RZRQYECZ,RZMRE,SZ,RZYEZB,RZMRE3D,RZMRE5D,RZMRE10D,RZCHE,RZCHE3D,RZCHE5D,RZCHE10D,RZJME,RZJME3D,RZJME5D,RZJME10D,RQMCL3D,RQMCL5D,RQMCL10D,RQCHL,RQCHL3D,RQCHL5D,RQCHL10D,RQJMG,RQJMG3D,RQJMG5D,RQJMG10D,SPJ,ZDF,RCHANGE3DCP,RCHANGE5DCP,RCHANGE10DCP,KCB,TRADE_MARKET_CODE,TRADE_MARKET
2020-12-09 00,融资融券_深证,300567.0,精测电子,699990459.0,65400.0,703198983.0,3208524.0,0.0,696781935.0,13455818.0,8305971279.54,8.42755694,64438039.0,164049723.0,288045857.0,27680210.0,91737519.0,146862203.0,258168063.0,-14224392.0,-27299480.0,17187520.0,29877794.0,10000.0,28700.0,71630.0,0.0,26300.0,57430.0,97330.0,0.0,-16300.0,-28730.0,-25700.0,49.06,-3.596,-3.6339,-1.0488,0.4505,0.0,69001002002.0,深交所创业板
2020-12-09 00,融资融券_深证,2456.0,欧菲光,2409789368.0,2402425.0,2446114034.0,36324666.0,325082.0,2373464702.0,61948565.0,40347728694.0,5.97255272,186488669.0,498074072.0,953203906.0,76229592.0,234026588.0,520065590.0,989621311.0,-14281027.0,-47537919.0,-21991518.0,-36417405.0,523682.0,1204286.0,2112267.0,324926.0,712632.0,1240230.0,2525109.0,156.0,-188950.0,-35944.0,-412842.0,15.12,-1.6905,-2.8902,-4.3643,-0.5917,0.0,69001002003.0,深交所中小板
2020-12-09 00,融资融券_深证,300339.0,润和软件,666980991.0,37951.0,667378717.0,397726.0,0.0,666583265.0,21517108.0,7915137816.16,8.42665038,61013330.0,111148147.0,206081004.0,35808115.0,74838382.0,114247762.0,213584325.0,-14291007.0,-13825052.0,-3099615.0,-7503321.0,0.0,17900.0,17900.0,0.0,45000.0,45000.0,57900.0,0.0,-45000.0,-27100.0,-40000.0,10.48,-1.0387,-2.0561,-1.3183,-1.5038,0.0,69001002002.0,深交所创业板
2020-12-09 00,融资融券_深证,300450.0,先导智能,799759245.0,1233813.0,880388924.0,80629679.0,75718.0,719129566.0,64660975.0,58571963676.75,1.36543014,187504397.0,326644608.0,642032376.0,79056311.0,184866847.0,278560732.0,573861731.0,-14395336.0,2637550.0,48083876.0,68170645.0,253993.0,507031.0,1079219.0,113471.0,307551.0,612951.0,1569852.0,-37753.0,-53558.0,-105920.0,-490633.0,65.35,-3.3284,-2.0534,-0.5176,3.2385,0.0,69001002002.0,深交所创业板
2020-12-09 00,融资融券_深证,516.0,国际医学,824411863.0,3105247.0,851862246.0,27450383.0,0.0,796961480.0,16469444.0,17051782606.56,4.83475471,45939460.0,99916911.0,198185400.0,30887303.0,83680855.0,118119844.0,222235463.0,-14417859.0,-37741395.0,-18202933.0,-24050063.0,300.0,300.0,25300.0,300.0,300.0,50300.0,50600.0,-300.0,0.0,-50000.0,-25300.0,8.84,-3.4934,-0.6742,3.7559,-0.3382,0.0,69001002001.0,深交所主板
2020-12-09 00,融资融券_沪证,603160.0,汇顶科技,1784204941.0,139106.0,1806253242.0,22048301.0,7600.0,1762156640.0,56183422.0,71845096669.5,2.4834053,173587080.0,323678802.0,613357081.0,70675436.0,205572185.0,368437937.0,705960289.0,-14492014.0,-31985105.0,-44759135.0,-92603208.0,29400.0,76371.0,167088.0,8400.0,64700.0,106171.0,218482.0,-800.0,-35300.0,-29800.0,-51394.0,158.5,-2.3173,-3.9859,-6.5173,-4.9247,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_深证,300038.0,数知科技,580493922.0,60000.0,580834722.0,340800.0,3000.0,580153122.0,20594278.0,6594390613.84,8.80284405,56665535.0,76143367.0,150280385.0,35266351.0,76647413.0,99103969.0,179136037.0,-14672073.0,-19981878.0,-22960602.0,-28855652.0,3000.0,6000.0,12000.0,0.0,3000.0,6000.0,22000.0,3000.0,0.0,0.0,-10000.0,5.68,-5.4908,-8.8283,-9.8413,-10.5512,0.0,69001002002.0,深交所创业板
2020-12-09 00,融资融券_深证,300429.0,强力新材,802530433.0,87200.0,804059049.0,1528616.0,0.0,801001817.0,39834886.0,5551652376.22,14.45570397,206333848.0,410096199.0,705306935.0,54514069.0,219109519.0,400178720.0,700752243.0,-14679183.0,-12775671.0,9917479.0,4554692.0,0.0,30000.0,56700.0,0.0,14200.0,14200.0,45900.0,0.0,-14200.0,15800.0,10800.0,17.53,-0.6236,-7.4934,-8.6027,-2.2309,0.0,69001002002.0,深交所创业板
2020-12-09 00,融资融券_深证,2429.0,兆驰股份,879712159.0,363900.0,881982895.0,2270736.0,0.0,877441423.0,48181797.0,28056920798.4,3.13545512,182553715.0,292483742.0,565020089.0,62878453.0,172708697.0,303644188.0,600294649.0,-14696656.0,9845018.0,-11160446.0,-35274560.0,135500.0,221800.0,427500.0,18300.0,232600.0,546247.0,969747.0,-18300.0,-97100.0,-324447.0,-542247.0,6.24,-2.8037,-0.6369,-3.4056,5.5838,0.0,69001002003.0,深交所中小板
2020-12-09 00,融资融券_沪证,512660.0,军工ETF,396754612.0,5218000.0,402567464.0,5812852.0,0.0,390941760.0,49893465.0,,,124587641.0,252336588.0,588659439.0,64617628.0,174507562.0,313954621.0,637101374.0,-14724163.0,-49919921.0,-61618033.0,-48441935.0,0.0,9000000.0,9000000.0,0.0,3782000.0,3782000.0,3782000.0,0.0,-3782000.0,5218000.0,5218000.0,1.114,-2.4518,-2.4518,-3.1304,3.3395,0.0,69001001.0,上海证券交易所
2020-12-09 00,融资融券_深证,300266.0,兴源环境,309899020.0,11900.0,309942455.0,43435.0,4700.0,309855585.0,6685491.0,5653479218.4,5.48156291,22932293.0,39140269.0,87850933.0,21517151.0,32939184.0,46803207.0,101055175.0,-14831660.0,-10006891.0,-7662938.0,-13204242.0,4700.0,4700.0,4700.0,0.0,0.0,0.0,9500.0,4700.0,4700.0,4700.0,-4800.0,3.65,0.0,-1.6173,-3.1830000000000003,-1.6173,0.0,69001002002.0,深交所创业板
2020-12-09 00,融资融券_深证,300342.0,天银机电,471298177.0,12500.0,471473552.0,175375.0,5500.0,471122802.0,15079718.0,5878413130.57,8.01743883,38412128.0,62560238.0,207433112.0,29964527.0,56995774.0,84540059.0,241453293.0,-14884809.0,-18583646.0,-21979821.0,-34020181.0,5500.0,6000.0,45100.0,0.0,500.0,1000.0,87600.0,5500.0,5000.0,5000.0,-42500.0,14.03,-3.1077,-3.9699,-5.3306,-6.7774,0.0,69001002002.0,深交所创业板
2020-12-09 00,融资融券_沪证,600705.0,中航资本,1492072705.0,1181246.0,1497234750.02,5162045.02,178800.0,1486910659.98,26180884.0,38836378574.24,3.84194603,79243066.0,176514179.0,511832449.0,41110787.0,108259883.0,192865893.0,511679678.0,-14929903.0,-29016817.0,-16351714.0,152771.0,247400.0,466600.0,2022200.0,129911.0,414200.0,771300.0,2740500.0,48889.0,-166800.0,-304700.0,-718300.0,4.37,-1.7978,-5.4113,-7.611000000000001,-3.9560000000000004,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_沪证,600257.0,大湖股份,194178054.0,43800.0,194469762.0,291708.0,0.0,193886346.0,39655207.0,3205039672.08,6.05852264,133587779.0,187112174.0,268904146.0,54608113.0,124845954.0,171747021.0,248834677.0,-14952906.0,8741825.0,15365153.0,20069469.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,6.66,10.0826,33.2,42.0043,49.3274,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_深证,300002.0,神州泰岳,838721450.0,717100.0,842780236.0,4058786.0,33300.0,834662664.0,26451675.0,9219705193.14,9.09705281,65387051.0,116225486.0,332465423.0,41412019.0,84467172.0,153721539.0,372437058.0,-14960344.0,-19080121.0,-37496053.0,-39971635.0,132400.0,183700.0,1077600.0,30100.0,508400.0,1649056.0,4196280.0,3200.0,-376000.0,-1465356.0,-3118680.0,5.66,-7.0608,-7.9675,-10.8661,-8.1169,0.0,69001002002.0,深交所创业板
2020-12-09 00,融资融券_深证,2617.0,露笑科技,588828580.0,99000.0,589568110.0,739530.0,32500.0,588089050.0,31315174.0,8919476693.46,6.60160456,122899718.0,236791537.0,585840194.0,46484776.0,258708361.0,414634337.0,779691847.0,-15169602.0,-135808643.0,-177842800.0,-193851653.0,32500.0,59000.0,118000.0,0.0,22500.0,32500.0,91500.0,32500.0,10000.0,26500.0,26500.0,7.47,-0.6649,-4.9618,-6.625,-0.267,0.0,69001002003.0,深交所中小板
2020-12-09 00,融资融券_深证,2191.0,劲嘉股份,981323632.0,556859.0,986970182.0,5646550.0,15000.0,975677082.0,47481849.0,14822733758.82,6.62039572,148218807.0,265847893.0,412937719.0,62721315.0,157085855.0,257004060.0,419807383.0,-15239466.0,-8867048.0,8843833.0,-6869664.0,44800.0,128200.0,394400.0,7600.0,206200.0,762292.0,1388234.0,7400.0,-161400.0,-634092.0,-993834.0,10.14,-4.7887,-4.4298,-2.029,-0.0985,0.0,69001002003.0,深交所中小板
