dt,stock_index,rzmre,rzye,rqye,rzrqye,close
2020-05-19 00,601398,117051971,2649647024,13497856,2663144880,4.86
2020-05-20 00,601398,41599453,2636238342,3255808,2639494150,4.86
2020-05-21 00,601398,31173302,2635777971,8459370,2644237341,4.84
2020-05-22 00,601398,40509630,2637182873,5743365,2642926238,4.79
2020-05-25 00,601398,28434927,2615252577,6093239,2621345816,4.83
2020-05-26 00,601398,88458640,2649597724,12011152,2661608876,4.82
2020-05-27 00,601398,25284312,2617419254,7547904,2624967158,4.86
2020-05-28 00,601398,52182646,2602506454,8211511,2610717965,4.91
2020-05-29 00,601398,66621706,2597006160,5824512,2602830672,4.86
2020-06-01 00,601398,96174936,2641595233,6138852,2647734085,4.9
2020-06-02 00,601398,19300783,2589228949,3585771,2592814720,4.93
2020-06-03 00,601398,53586848,2561201759,3253092,2564454851,4.93
2020-06-04 00,601398,48766722,2570697271,12696180,2583393451,4.92
2020-06-05 00,601398,59714043,2589966239,3633454,2593599693,4.95
2020-06-08 00,601398,30278936,2550404835,15966280,2566371115,4.98
2020-06-09 00,601398,57063319,2558725629,12522482,2571248111,5
2020-06-10 00,601398,70977642,2557245430,16730669,2573976099,5.01
2020-06-11 00,601398,92398875,2566451562,17093245,2583544807,5.01
2020-06-12 00,601398,169478926,2625434037,12127626,2637561663,4.96
2020-06-15 00,601398,71071505,2556466355,14513752,2570980107,4.98
2020-06-16 00,601398,108147251,2606562939,17326230,2623889169,5.04
2020-06-17 00,601398,72594606,2644483509,10141280,2654624789,5
2020-06-18 00,601398,185651400,2761466281,23262618,2784728899,4.93
2020-06-19 00,601398,76305364,2801344384,8176480,2809520864,4.94
2020-06-22 00,601398,79292660,2832363165,18458868,2850822033,4.9
2020-06-23 00,601398,76033673,2882400954,10000384,2892401338,4.88
2020-06-24 00,601398,86163290,2817907030,20755242,2838662272,4.96
2020-06-29 00,601398,155427256,2810332745,16834650,2827167395,4.99
2020-06-30 00,601398,56754789,2745687223,19348794,2765036017,4.98
2020-07-01 00,601398,126616223,2789377502,12783382,2802160884,4.99
2020-07-02 00,601398,155887346,2778291977,16190482,2794482459,5.06
2020-07-03 00,601398,208847643,2804381489,63322488,2867703977,5.16
2020-07-06 00,601398,280979338,2852917326,79654960,2932572286,5.6
2020-07-07 00,601398,251995200,2887278710,67045260,2954323970,5.56
2020-07-08 00,601398,418330780,3022860682,72686454,3095547136,5.47
2020-07-09 00,601398,495460371,3273152980,66982614,3340135594,5.38
2020-07-10 00,601398,378312520,3367298842,66498310.8,3433797152.8,5.22
2020-07-13 00,601398,399764980,3506899592,66643923.4,3573543515.4,5.21
2020-07-14 00,601398,241208441,3523876758,59988631.6,3583865389.6,5.14
2020-07-15 00,601398,273788322,3534387909,66237307.2,3600625216.2,5.08
2020-07-16 00,601398,262351517,3428587300,59561968.4,3488149268.4,5.06
2020-07-17 00,601398,170487617,3402609975,58844460.4,3461454435.4,5.06
2020-07-20 00,601398,291037353,3490291601,61813627.2,3552105228.2,5.13
2020-07-21 00,601398,143487263,3544836273,61977444,3606813717,5.1
2020-07-22 00,601398,144734192,3551867684,61811433,3613679117,5.09
2020-07-23 00,601398,125680492,3451626827,63731609,3515358436,5.03
2020-07-24 00,601398,111574375,3436977681,62873496,3499851177,4.98
2020-07-27 00,601398,102656816,3381293884,65213855,3446507739,4.97
2020-07-28 00,601398,98932464,3349148371,61622022,3410770393,4.98
2020-07-29 00,601398,127045924,3348179742,65430680,3413610422,5.02
2020-07-30 00,601398,55791780,3283783199,60356524.32,3344139723.32,4.98
2020-07-31 00,601398,104043429,3209640711,62905200,3272545911,4.96
2020-08-03 00,601398,240040221,3262518814,56708256,3319227070,4.98
2020-08-04 00,601398,154627354,3272296517,59561720,3331858237,5.05
2020-08-05 00,601398,100582449,3299722689,58712500,3358435189,5
2020-08-06 00,601398,174352955,3393860893,55698908,3449559801,5.02
2020-08-07 00,601398,100359799,3394887531,59368572,3454256103,4.98
2020-08-10 00,601398,216134898,3504632433,59065133,3563697566,4.99
2020-08-11 00,601398,208462607,3581074518,15828432,3596902950,4.98
2020-08-12 00,601398,102041624,3527195994,8944575,3536140569,4.99
2020-08-13 00,601398,78070105,3565027733,11572524,3576600257,4.98
2020-08-14 00,601398,49248076,3529684245,24016182,3553700427,5.02
2020-08-17 00,601398,391829999,3727487653,28307017,3755794670,5.09
2020-08-18 00,601398,198279000,3715567925,18012845,3733580770,5.05
2020-08-19 00,601398,95020705,3700460161,20035999,3720496160,5.03
2020-08-20 00,601398,41527916,3696879337,17182500,3714061837,5
2020-08-21 00,601398,31199837,3626030817,19169262,3645200079,5.01
2020-08-24 00,601398,53327670,3611424180,20089241,3631513421,4.99
2020-08-25 00,601398,75876865,3554023130,19141500,3573164630,5
2020-08-26 00,601398,41743693,3485724855,23103714,3508828569,4.98
2020-08-27 00,601398,58963452,3506490936,23925580,3530416516,4.97
2020-08-28 00,601398,132767015,3559477991,25307500,3584785491,5
2020-08-31 00,601398,92711087,3528607346,25130336,3553737682,4.96
2020-09-01 00,601398,51834705,3520929344,27119792,3548049136,4.96
2020-09-02 00,601398,79619008,3504601161,31774836,3536375997,4.92
2020-09-03 00,601398,57870057,3507586882,30179806,3537766688,4.91
2020-09-04 00,601398,34175799,3487931719,32378220,3520309939,4.9
2020-09-07 00,601398,53392751,3481093327,38008320,3519101647,4.9
2020-09-08 00,601398,104094355,3480665393,36064215,3516729608,4.95
2020-09-09 00,601398,85274367,3448171402,33691788,3481863190,4.94
2020-09-10 00,601398,79457833,3450735591,43807511,3494543102,4.91
2020-09-11 00,601398,17255713,3383408582,44670730,3428079312,4.93
2020-09-14 00,601398,33294288,3391004186,45571441,3436575627,4.93
2020-09-15 00,601398,32672165,3393362157,45592164,3438954321,4.92
2020-09-16 00,601398,33233442,3375391286,57746130,3433137416,4.94
2020-09-17 00,601398,55545102,3387586597,44955482,3432542079,4.94
2020-09-18 00,601398,69177429,3391460996,47045532.12,3438506528.12,4.98
2020-09-21 00,601398,49854428,3349131450,56753644.32,3405885094.32,4.96
2020-09-22 00,601398,38813397,3347921697,42883082.42,3390804779.42,4.93
2020-09-23 00,601398,36704813,3348070076,48302070.48,3396372146.48,4.92
2020-09-24 00,601398,33019719,3324128613,51714570.6,3375843183.6,4.9
2020-09-25 00,601398,49134254,3299076557,58669701.66,3357746258.66,4.89
2020-09-28 00,601398,26788217,3268286406,56350056.36,3324636462.36,4.94
2020-09-29 00,601398,46180573,3271958272,85202709.54,3357160981.54,4.91
2020-09-30 00,601398,35325854,3193346597,74503038.48,3267849635.48,4.92
2020-10-09 00,601398,59224903,3216692570,75066044,3291758614,4.91
2020-10-12 00,601398,191839881,3325424403,87572768,3412997171,4.96
2020-10-13 00,601398,97723211,3364355401,90763668,3455119069,4.92
2020-10-14 00,601398,75471825,3375068541,91379160,3466447701,4.92
2020-10-15 00,601398,65381361,3364794328,96512145,3461306473,4.93
2020-10-16 00,601398,239148262,3451715965,91733166,3543449131,4.99
2020-10-19 00,601398,156130958,3465117249,101945658,3567062907,5.02
2020-10-20 00,601398,125526625,3403654907,95587614,3499242521,4.98
2020-10-21 00,601398,98080070,3357537220,104675390,3462212610,5.05
2020-10-22 00,601398,123688096,3366846084,103907100,3470753184,5.06
2020-10-23 00,601398,124784570,3332227938,106741712,3438969650,5.06
2020-10-26 00,601398,76900312,3311811834,102456192,3414268026,5.02
2020-10-27 00,601398,134155055,3358924331,102685438,3461609769,5.03
2020-10-28 00,601398,293591972,3544765677,97695000,3642460677,5
2020-10-29 00,601398,163721633,3570069305,99887456,3669956761,4.96
2020-10-30 00,601398,100014637,3490996996,88398132,3579395128,4.92
2020-11-02 00,601398,75169277,3448980496,90381746,3539362242,4.94
2020-11-03 00,601398,88573267,3463633263,87644700,3551277963,4.95
2020-11-04 00,601398,104051003,3468799948,95199390,3563999338,4.95
2020-11-05 00,601398,117026494,3502682943,90685980,3593368923,4.95
2020-11-06 00,601398,41820201,3470956951,87279136,3558236087,4.96
2020-11-09 00,601398,82487562,3448810373,93727584,3542537957,4.98
2020-11-10 00,601398,135292037,3512137640,112745686,3624883326,5.02
2020-11-11 00,601398,127384058,3507988365,162445842,3670434207,5.07
2020-11-12 00,601398,49629869,3515814905,242199477.09,3758014382.09,5.01
2020-11-13 00,601398,45774909,3499471350,242337708.64,3741809058.64,4.96
2020-11-16 00,601398,92680952,3528207092,248880026.82,3777087118.82,4.98
2020-11-17 00,601398,39360821,3508733253,253564545,3762297798,5
2020-11-18 00,601398,129588380,3566209770,256311240.27,3822521010.27,5.03
2020-11-19 00,601398,95248357,3580575261,254561373.36,3835136634.36,5.04
2020-11-20 00,601398,59757677,3544479517,233440333.27,3777919850.27,5.03
2020-11-23 00,601398,124217316,3575889161,248943129.63,3824832290.63,5.07
2020-11-24 00,601398,80310559,3603882496,239738695.45,3843621191.45,5.05
2020-11-25 00,601398,88005656,3591012388,240332949.36,3831345337.36,5.04
2020-11-27 00,601398,692813284,4049162683,262866575.51,4312029258.51,5.39
2020-11-30 00,601398,413142334,3740746097,258233379.88,3998979476.88,5.32
2020-12-01 00,601398,209507751,3681588438,247422371.23,3929010809.23,5.47
2020-12-02 00,601398,150683068,3686090379,288345875,3974436254,5.45
2020-12-03 00,601398,155302394,3718583471,283410868,4001994339,5.38
2020-12-04 00,601398,128873382,3715786625,272352024,3988138649,5.31
2020-12-07 00,601398,110108120,3718405238,263991426,3982396664,5.19
2020-12-08 00,601398,119404692,3776039026,240264192,4016303218,5.12
2020-12-09 00,601398,110852450,3794038274,232382520,4026420794,5.1
