x1	x33	x94
2015-03-31	7.3857999E10	601398
2015-06-30	1.48175995E11	601398
2015-09-30	2.20692005E11	601398
2015-12-31	2.74466996E11	601398
2016-03-31	7.4466001E10	601398
2016-06-30	1.49495005E11	601398
2016-09-30	2.21802004E11	601398
2016-12-31	2.75987988E11	601398
2017-03-31	7.5496997E10	601398
2017-06-30	1.52152998E11	601398
2017-09-30	2.26537996E11	601398
2017-12-31	2.83962999E11	601398
2018-03-31	7.7795E10	601398
2018-06-30	1.58922998E11	601398
2018-09-30	2.38023999E11	601398
