bankuai,stock_date,zhangdiee
振兴沈阳,2021-01-11,-0.013
资产注入,2021-01-11,-0.244
国企改革,2020-12-22,-0.19
无线耳机,2020-12-29,-0.085
污水处理,2021-01-05,-0.037
特斯拉,2020-12-18,0.256
资产注入,2020-12-18,0.054
超导概念,2021-01-08,-0.076
石墨烯,2020-12-21,0.28
污水处理,2020-12-21,0.057
含GDR,2021-01-13,-0.36
未股改,2020-12-31,0.044
页岩气,2020-12-23,0.116
基因测序,2020-12-23,-0.194
新能源,2020-12-23,0.424
金融改革,2021-01-04,0.109
券商重仓,2021-01-04,0.619
超级细菌,2020-12-17,0.168
国防军工,2020-12-22,-0.491
民营医院,2020-12-22,-0.112
免疫治疗,2020-12-28,-0.096
沿海发展,2020-12-28,-0.199
无线耳机,2021-01-12,1.032
消费电子,2020-12-25,0.094
超大盘,2021-01-05,-0.076
油气改革,2021-01-06,0.226
维生素,2020-12-18,-0.06
3D打印,2021-01-07,-0.059
碳纤维,2021-01-07,-0.062
摘帽概念,2020-12-30,0.436
股权激励,2020-12-31,0.274
互联金融,2020-12-17,0.313
日韩贸易,2020-12-17,0.202
奢侈品,2021-01-11,-0.126
上海自贸,2021-01-11,-0.273
超大盘,2021-01-11,-0.217
婴童概念,2021-01-12,0.254
消费电子,2021-01-06,-0.405
土地流转,2020-12-18,-0.012
碳纤维,2021-01-08,-0.001
分拆上市,2021-01-08,0.288
触摸屏,2020-12-21,0.612
海水淡化,2020-12-21,0.16
水域改革,2020-12-21,0.063
参股金融,2021-01-07,-0.059
国企改革,2020-12-23,0.103
基因测序,2021-01-04,0.158
基因概念,2021-01-11,-0.865
高校背景,2020-12-22,-0.014
上海本地,2020-12-22,-0.146
央企50,2020-12-28,-0.013
本月解禁,2021-01-12,0.321
资产注入,2021-01-12,0.158
智能家居,2021-01-06,-0.233
出口退税,2020-12-21,0.135
黄河三角,2020-12-24,-0.214
QFII重仓,2020-12-24,-0.186
物联网,2021-01-04,0.31
绿色照明,2021-01-04,0.19
朝鲜改革,2020-12-29,-0.076
海南自贸,2021-01-06,-0.275
风能概念,2021-01-06,-0.055
朝鲜改革,2020-12-18,0.208
安防服务,2020-12-21,0.104
基金重仓,2021-01-13,-0.162
军工航天,2020-12-30,0.246
券商重仓,2020-12-24,-0.203
黄金概念,2020-12-23,-0.053
消费电子,2021-01-04,0.457
聚氨酯,2021-01-04,0.25
日韩贸易,2021-01-04,0.194
