bankuai,stock_date,zhangdiee
氢燃料,2020-12-28,-0.4
融资融券,2020-12-29,-0.098
图们江,2021-01-12,0.533
安防服务,2020-12-25,0.09
聚氨酯,2020-12-25,0.232
网络游戏,2021-01-05,0.032
智能穿戴,2021-01-05,0.114
科创50,2020-12-18,-0.077
固废处理,2020-12-18,-0.044
基因测序,2020-12-18,-0.238
外资背景,2020-12-18,-0.134
信托重仓,2020-12-18,0.044
含B股,2021-01-13,-0.104
水利建设,2021-01-07,-0.171
安防服务,2020-12-30,0.083
准ST股,2020-12-30,0.15
卫星导航,2020-12-29,-0.058
民营银行,2020-12-29,0.062
国企改革,2020-12-25,-0.049
博彩概念,2021-01-05,0.083
水利建设,2021-01-08,0.084
整体上市,2020-12-31,0.263
准ST股,2021-01-04,0.35
本月解禁,2021-01-04,0.425
海峡西岸,2021-01-11,-0.127
水域改革,2021-01-11,-0.393
上海本地,2021-01-11,-0.216
超导概念,2020-12-29,0.038
自贸区,2020-12-29,0.012
卫星导航,2021-01-12,0.326
重组概念,2021-01-12,0.154
准ST股,2021-01-13,-0.106
陕甘宁,2021-01-13,-0.103
电子支付,2021-01-07,-0.209
融资融券,2020-12-30,0.249
智能家居,2020-12-23,0.144
上海自贸,2020-12-23,-0.023
稀缺资源,2021-01-04,0.541
海上丝路,2021-01-04,0.715
智能穿戴,2020-12-17,0.156
科创50,2021-01-11,0.843
自贸区,2021-01-11,-0.062
低碳经济,2020-12-22,-0.236
智能穿戴,2020-12-22,-0.492
生物燃料,2021-01-06,-0.025
振兴沈阳,2021-01-06,-0.087
空气治理,2020-12-18,-0.053
内贸规划,2020-12-18,-0.123
水产品,2021-01-08,-0.342
军民融合,2020-12-21,0.307
草甘膦,2020-12-21,0.316
稀缺资源,2021-01-07,0.383
智能家居,2020-12-30,-0.055
石墨烯,2020-12-24,-0.122
博彩概念,2021-01-04,0.21
油气改革,2021-01-04,0.0
食品安全,2020-12-17,0.105
水利建设,2020-12-22,-0.123
生态农业,2020-12-28,0.562
基因测序,2020-12-28,-0.201
上海自贸,2021-01-12,0.048
金融参股,2021-01-12,0.069
重组概念,2020-12-25,0.011
汽车电子,2020-12-25,-0.037
海工装备,2021-01-08,-0.141
东亚自贸,2021-01-08,-0.054
皖江区域,2021-01-13,-0.059
业绩预降,2020-12-30,0.07
5G概念,2020-12-31,0.121
免疫治疗,2020-12-31,0.208
内贸规划,2020-12-24,-0.246
准ST股,2020-12-24,-0.017
京津冀,2020-12-23,0.173
黄金概念,2020-12-28,-0.016
上海自贸,2020-12-28,-0.107
文化振兴,2021-01-05,-0.055
科创50,2021-01-06,-1.231
新能源,2021-01-08,-0.023
博彩概念,2021-01-13,-0.119
智能电网,2020-12-30,0.167
业绩预降,2020-12-23,0.022
甲型流感,2021-01-04,0.112
分拆上市,2020-12-22,-0.308
国产软件,2020-12-28,-0.347
超级细菌,2020-12-28,-0.017
生态农业,2020-12-29,-0.672
含H股,2021-01-05,0.136
海水淡化,2021-01-06,0.005
智能机器,2021-01-06,-0.221
生物燃料,2020-12-18,-0.008
陕甘宁,2020-12-18,0.063
沿海发展,2020-12-18,0.058
核电核能,2021-01-08,-0.15
仿制药,2020-12-21,-0.055
智能机器,2020-12-31,0.112
业绩预升,2020-12-31,0.263
海南自贸,2020-12-24,0.015
机器人概念,2021-01-04,0.305
智能穿戴,2021-01-11,0.138
垃圾分类,2020-12-22,-0.216
页岩气,2020-12-22,-0.238
QFII重仓,2020-12-22,0.002
央企50,2020-12-29,-0.069
卫星导航,2021-01-06,-0.308
武汉规划,2020-12-18,-0.072
股期概念,2020-12-18,-0.038
军工航天,2020-12-21,0.424
体育概念,2020-12-21,-0.065
国防军工,2021-01-07,0.095
民营医院,2021-01-07,0.468
参股金融,2020-12-30,0.089
生态农业,2020-12-31,0.171
垃圾分类,2020-12-24,-0.163
可燃冰,2020-12-24,-0.099
基金重仓,2020-12-23,-0.417
迪士尼,2020-12-17,-0.038
宽带提速,2020-12-28,-0.354
社保重仓,2020-12-28,0.246
三沙概念,2020-12-29,-0.033
充电桩,2020-12-29,-0.49
生物燃料,2020-12-29,-0.274
循环经济,2021-01-12,0.071
电商概念,2020-12-25,0.031
循环经济,2020-12-21,0.092
振兴沈阳,2020-12-30,0.005
超导概念,2020-12-31,0.141
业绩预降,2020-12-31,0.135
婴童概念,2020-12-23,-0.14
黄金概念,2021-01-11,-0.354
业绩预降,2021-01-11,-0.284
触摸屏,2020-12-22,-0.443
氢能源,2020-12-28,-0.186
雄安新区,2020-12-28,-0.092
海上丝路,2020-12-28,-0.006
超大盘,2021-01-12,0.469
乡村振兴,2020-12-25,0.15
猪肉,2020-12-25,0.071
绿色照明,2020-12-25,0.036
日韩贸易,2021-01-07,0.165
光伏概念,2020-12-30,0.547
ST板块,2020-12-23,0.164
日韩贸易,2020-12-23,0.207
海南自贸,2021-01-04,0.363
图们江,2021-01-04,0.867
含B股,2021-01-11,-0.471
智能机器,2020-12-22,-0.258
海水淡化,2020-12-28,0.056
甲型流感,2020-12-18,-0.179
抗癌,2021-01-13,0.019
低碳经济,2021-01-07,0.077
循环经济,2020-12-30,0.053
锂电池,2020-12-24,-0.361
金融参股,2020-12-24,-0.127
长株潭,2020-12-23,0.095
风能概念,2020-12-23,0.231
智能家居,2020-12-22,-0.289
水利建设,2020-12-28,-0.028
迪士尼,2020-12-28,-0.128
草甘膦,2020-12-25,0.024
保险重仓,2021-01-05,1.276
石墨烯,2021-01-06,-0.223
风能概念,2020-12-21,0.139
宽带提速,2021-01-13,0.118
上海自贸,2021-01-13,-0.002
水利建设,2021-01-04,0.066
充电桩,2020-12-17,0.115
博彩概念,2020-12-17,0.237
特斯拉,2020-12-17,0.128
土地流转,2021-01-11,-0.127
猪肉,2021-01-11,-0.941
核电核能,2020-12-22,-0.203
卫星导航,2020-12-22,-0.267
可燃冰,2020-12-28,-0.224
卫星导航,2020-12-28,-0.294
充电桩,2020-12-28,-0.042
资产注入,2020-12-28,-0.011
苹果概念,2020-12-29,-0.235
苹果概念,2021-01-12,0.262
业绩预降,2021-01-12,0.097
军工航天,2020-12-25,0.145
生物疫苗,2021-01-06,1.128
猪肉,2021-01-13,-0.372
智能穿戴,2021-01-13,0.403
雄安新区,2021-01-07,-0.001
华为概念,2020-12-30,0.112
互联金融,2020-12-24,-0.897
民营医院,2020-12-23,-0.064
超级细菌,2021-01-04,0.132
稀缺资源,2020-12-17,0.426
聚氨酯,2020-12-17,0.001
碳纤维,2021-01-11,-0.061
出口退税,2021-01-11,-0.161
自贸区,2020-12-28,-0.014
3D打印,2020-12-29,-0.018
聚氨酯,2020-12-29,-0.017
电商概念,2020-12-29,0.444
准ST股,2020-12-29,-0.13
日韩贸易,2020-12-29,-0.123
固废处理,2021-01-12,0.095
股权激励,2021-01-12,0.259
水产品,2020-12-25,-0.2
社保重仓,2020-12-25,0.371
武汉规划,2021-01-06,-0.164
电子支付,2021-01-08,-0.022
出口退税,2020-12-30,0.111
新能源,2020-12-31,0.247
垃圾分类,2020-12-23,0.019
维生素,2020-12-23,-0.101
股权激励,2020-12-23,0.098
雄安新区,2020-12-17,0.056
海工装备,2020-12-17,0.051
机器人概念,2020-12-17,0.042
股期概念,2020-12-17,0.134
民营医院,2021-01-11,-1.016
成渝特区,2020-12-22,-0.152
海工装备,2020-12-22,-0.278
节能环保,2020-12-22,-0.214
赛马概念,2020-12-28,-0.167
安防服务,2020-12-29,0.04
迪士尼,2020-12-29,-0.012
页岩气,2021-01-12,0.178
准ST股,2020-12-25,0.172
海工装备,2021-01-06,0.175
央企50,2021-01-06,0.124
海水淡化,2021-01-08,-0.292
充电桩,2021-01-08,-0.23
消费电子,2020-12-21,0.352
垃圾分类,2020-12-30,0.028
资产注入,2020-12-30,0.063
外资背景,2020-12-24,-0.59
超级细菌,2020-12-24,-0.446
稀缺资源,2020-12-23,0.21
未股改,2021-01-04,0.008
分拆上市,2020-12-17,0.726
上海本地,2020-12-28,-0.057
水域改革,2020-12-29,-0.369
东亚自贸,2020-12-25,0.075
军民融合,2021-01-05,0.078
锂电池,2021-01-05,0.452
氢燃料,2021-01-06,0.187
业绩预升,2021-01-06,-0.022
婴童概念,2020-12-24,-0.139
可燃冰,2020-12-23,0.098
建筑节能,2020-12-23,0.086
安防服务,2021-01-04,0.161
百度概念,2020-12-17,-0.239
融资融券,2020-12-17,0.44
未股改,2020-12-17,0.039
空气治理,2021-01-11,-0.254
草甘膦,2020-12-28,-0.476
准ST股,2020-12-28,-0.047
皖江区域,2021-01-12,0.313
ST板块,2020-12-25,0.066
雄安新区,2021-01-06,-0.078
华为概念,2020-12-18,-0.356
融资融券,2021-01-13,-0.162
海南自贸,2021-01-07,0.321
可燃冰,2021-01-07,0.044
核电核能,2021-01-07,-0.118
分拆上市,2021-01-07,-0.266
可燃冰,2020-12-30,0.067
机器人概念,2020-12-30,0.035
风能概念,2020-12-30,0.046
基因测序,2020-12-31,-0.031
陕甘宁,2020-12-31,0.224
上海自贸,2020-12-24,-0.206
节能环保,2020-12-23,0.115
深圳本地,2020-12-23,0.13
核电核能,2021-01-04,0.245
皖江区域,2021-01-11,-0.068
未股改,2020-12-22,-0.191
参股金融,2020-12-29,-0.034
国企改革,2021-01-12,0.121
甲型流感,2021-01-12,0.213
黄金概念,2020-12-25,0.12
皖江区域,2020-12-25,0.1
体育概念,2020-12-25,0.014
雄安新区,2021-01-05,-0.047
智能穿戴,2020-12-18,-0.028
保险重仓,2021-01-08,-0.839
空气治理,2021-01-07,-0.093
雄安新区,2020-12-31,0.13
超导概念,2020-12-24,0.129
QFII重仓,2021-01-04,0.526
深圳本地,2021-01-04,0.139
新能源,2021-01-04,0.49
水产品,2021-01-11,-0.453
仿制药,2020-12-22,-0.411
污水处理,2020-12-22,-0.126
土地流转,2021-01-12,0.064
智能电网,2021-01-05,0.022
整体上市,2021-01-06,-0.017
黄河三角,2020-12-18,-0.057
摘帽概念,2020-12-18,0.168
智能穿戴,2021-01-08,0.273
三沙概念,2020-12-21,0.024
固废处理,2021-01-13,-0.107
油气改革,2021-01-13,0.134
水域改革,2020-12-24,-0.049
乡村振兴,2021-01-04,0.51
乡村振兴,2021-01-11,-0.338
社保重仓,2020-12-22,-0.202
成渝特区,2020-12-28,0.105
5G概念,2020-12-29,0.446
图们江,2020-12-29,-0.137
空气治理,2020-12-29,-0.131
互联金融,2020-12-25,0.239
含GDR,2021-01-05,0.04
生物疫苗,2021-01-05,0.254
国产软件,2021-01-05,0.043
深圳本地,2021-01-13,-0.034
智能机器,2020-12-30,0.062
信息安全,2020-12-30,0.015
节能环保,2020-12-30,0.03
生物育种,2020-12-31,0.155
风能,2020-12-24,0.001
智能电网,2020-12-23,0.233
民营医院,2021-01-04,-0.818
循环经济,2021-01-04,0.127
基因概念,2020-12-22,-0.097
科创50,2021-01-12,0.116
央企50,2020-12-25,0.085
水利建设,2020-12-18,0.012
电子支付,2020-12-18,-0.062
重组概念,2020-12-18,-0.029
含GDR,2021-01-08,0.11
三沙概念,2021-01-08,-0.058
食品安全,2021-01-07,-0.289
整体上市,2020-12-23,0.292
社保重仓,2021-01-11,-0.539
军工航天,2020-12-28,-0.175
科创50,2020-12-29,-0.316
地热能,2020-12-25,0.022
上海本地,2021-01-05,0.048
抗癌,2020-12-18,-0.149
未股改,2020-12-18,-0.006
生态农业,2021-01-08,-0.26
草甘膦,2021-01-08,0.06
上海自贸,2021-01-08,0.08
参股金融,2021-01-08,0.018
科创50,2020-12-21,2.265
日韩贸易,2021-01-13,-0.11
摘帽概念,2021-01-07,0.501
循环经济,2020-12-31,0.07
固废处理,2020-12-24,-0.03
国企改革,2020-12-24,-0.188
生物疫苗,2020-12-22,-0.023
自贸区,2021-01-12,0.088
含B股,2020-12-25,0.003
深圳本地,2021-01-05,-0.088
朝鲜改革,2021-01-06,0.657
金融改革,2021-01-06,-0.048
涉矿概念,2021-01-13,-0.048
草甘膦,2021-01-13,-0.148
高校背景,2021-01-13,0.16
博彩概念,2021-01-07,-0.053
碳纤维,2020-12-31,0.045
生态农业,2020-12-17,-0.097
生物疫苗,2021-01-11,-0.853
机器人概念,2021-01-11,-0.283
风能概念,2020-12-22,-0.153
三沙概念,2021-01-12,0.024
石墨烯,2020-12-25,0.291
赛马概念,2021-01-06,-0.087
卫星导航,2020-12-18,-0.104
信息安全,2020-12-18,-0.149
免疫治疗,2021-01-13,-0.112
智能电网,2020-12-31,0.225
含B股,2020-12-17,0.052
宽带提速,2020-12-17,0.091
电商概念,2020-12-17,0.063
氢能源,2021-01-11,-0.383
宽带提速,2021-01-11,-0.075
抗癌,2021-01-11,-0.445
电子支付,2020-12-22,-0.41
振兴沈阳,2020-12-28,0.025
上海自贸,2020-12-29,0.062
互联金融,2021-01-06,-0.409
自贸区,2021-01-06,-0.224
保险重仓,2020-12-18,-0.346
科创50,2021-01-13,-1.043
水域改革,2020-12-31,-0.055
基因概念,2021-01-04,0.809
低碳经济,2020-12-17,0.061
抗癌,2020-12-17,0.402
朝鲜改革,2020-12-28,-0.038
水域改革,2020-12-28,-0.139
黄金概念,2020-12-18,0.034
股期概念,2020-12-21,0.056
水域改革,2020-12-30,0.136
海上丝路,2020-12-24,0.103
消费电子,2020-12-23,0.347
图们江,2020-12-23,-0.184
生物燃料,2020-12-23,0.104
光伏概念,2021-01-11,-1.417
特斯拉,2021-01-11,-0.248
生物疫苗,2020-12-28,-0.274
沿海发展,2020-12-29,-0.256
超大盘,2020-12-29,-0.044
海峡西岸,2021-01-12,0.232
分拆上市,2021-01-12,0.382
朝鲜改革,2020-12-25,0.365
业绩预降,2021-01-06,-0.196
含GDR,2020-12-18,-0.31
黄金概念,2021-01-08,-0.018
低碳经济,2021-01-08,0.017
海南自贸,2021-01-13,-0.596
机器人概念,2021-01-13,-0.178
电商概念,2020-12-30,0.533
国产软件,2020-12-31,0.556
军工航天,2020-12-23,0.568
水域改革,2020-12-23,0.174
外资背景,2020-12-23,-0.08
垃圾分类,2021-01-04,0.108
超导概念,2020-12-17,0.043
业绩预降,2020-12-18,0.085
金融参股,2020-12-21,0.053
参股金融,2020-12-31,0.168
文化振兴,2020-12-23,0.007
陕甘宁,2020-12-17,0.019
氢燃料,2020-12-22,-0.193
抗癌,2020-12-29,-0.37
体育概念,2021-01-12,0.007
甲型流感,2021-01-05,0.479
朝鲜改革,2021-01-08,0.168
海上丝路,2020-12-21,0.026
业绩预降,2020-12-21,0.291
深圳本地,2020-12-21,0.075
奢侈品,2021-01-13,-1.301
生物育种,2021-01-13,-0.572
海上丝路,2021-01-07,0.196
基金重仓,2020-12-24,-0.491
维生素,2020-12-22,-0.289
整体上市,2020-12-28,0.004
核电核能,2020-12-29,-0.093
科创50,2021-01-05,-0.24
券商重仓,2021-01-06,0.488
上海本地,2020-12-18,-0.008
国防军工,2021-01-08,-0.676
振兴沈阳,2020-12-21,-0.02
建筑节能,2021-01-13,-0.167
奢侈品,2020-12-30,4.979
草甘膦,2020-12-23,0.399
海工装备,2021-01-04,0.307
建筑节能,2020-12-17,0.107
海南自贸,2020-12-28,-0.121
资产注入,2020-12-29,-0.136
前海概念,2021-01-06,-0.448
体育概念,2020-12-18,-0.081
含B股,2021-01-08,-0.094
国产软件,2021-01-08,0.275
无线耳机,2021-01-07,-0.45
5G概念,2021-01-07,-0.395
风能,2021-01-04,0.315
绿色照明,2020-12-17,0.122
图们江,2021-01-11,-0.659
券商重仓,2020-12-22,-0.359
特斯拉,2020-12-29,-0.857
小米概念,2021-01-12,0.193
军工航天,2021-01-12,0.585
基金重仓,2021-01-12,1.787
氢能源,2020-12-25,0.19
低碳经济,2021-01-05,0.068
长株潭,2021-01-05,0.15
沿海发展,2021-01-06,0.129
金融改革,2020-12-18,-0.095
地热能,2020-12-18,-0.069
充电桩,2020-12-18,-0.03
页岩气,2020-12-21,0.042
高校背景,2020-12-21,0.151
石墨烯,2021-01-13,-0.207
武汉规划,2021-01-07,-0.162
生物育种,2021-01-07,-0.147
沿海发展,2021-01-07,0.223
央企50,2021-01-07,0.165
生物育种,2020-12-30,0.443
高校背景,2020-12-31,0.153
百度概念,2020-12-24,-0.1
触摸屏,2021-01-04,0.431
奢侈品,2021-01-04,1.055
东亚自贸,2021-01-04,0.14
超级细菌,2020-12-25,0.111
智能穿戴,2021-01-06,-0.526
准ST股,2021-01-06,-0.026
海工装备,2020-12-21,0.059
ST板块,2021-01-07,-0.016
地热能,2020-12-31,0.109
电商概念,2020-12-24,-0.749
汽车电子,2021-01-04,0.558
军工航天,2020-12-17,0.015
核电核能,2020-12-17,0.051
长株潭,2020-12-17,0.078
页岩气,2020-12-28,-0.083
振兴沈阳,2021-01-12,0.1
生物育种,2020-12-25,-0.145
股期概念,2020-12-25,0.116
5G概念,2021-01-05,-0.026
机器人概念,2021-01-05,-0.032
3D打印,2020-12-18,-0.144
石墨烯,2020-12-18,0.207
陕甘宁,2020-12-21,0.258
信托重仓,2020-12-21,0.184
金融改革,2021-01-13,-0.073
聚氨酯,2021-01-13,0.086
天津自贸,2021-01-13,-0.066
体育概念,2020-12-31,0.095
武汉规划,2020-12-23,0.058
参股金融,2020-12-23,0.056
充电桩,2021-01-04,0.487
体育概念,2021-01-04,0.051
水域改革,2021-01-04,0.367
可燃冰,2020-12-17,0.108
草甘膦,2020-12-17,0.604
融资融券,2020-12-22,-0.153
博彩概念,2020-12-29,0.133
智能电网,2021-01-12,0.343
参股金融,2021-01-05,0.041
低碳经济,2020-12-18,0.076
军工航天,2021-01-13,-0.282
水域改革,2021-01-07,0.104
科创50,2020-12-30,0.709
出口退税,2020-12-24,0.163
海工装备,2020-12-23,0.158
民营银行,2020-12-23,0.029
光伏概念,2021-01-04,0.776
可燃冰,2021-01-04,0.079
业绩预升,2021-01-04,0.258
参股金融,2020-12-17,0.016
碳纤维,2020-12-28,-0.079
基因概念,2021-01-12,0.665
武汉规划,2020-12-25,0.093
沿海发展,2020-12-25,0.248
黄金概念,2021-01-05,0.095
军工航天,2020-12-18,-0.066
基金重仓,2020-12-21,0.165
民营银行,2020-12-30,0.118
水产品,2020-12-24,-0.047
信息安全,2021-01-04,0.205
无线耳机,2020-12-17,0.18
风能概念,2021-01-11,-0.229
博彩概念,2020-12-28,-0.255
汽车电子,2021-01-12,0.069
建筑节能,2020-12-25,0.228
东亚自贸,2021-01-05,-0.024
海南自贸,2020-12-18,-0.239
超导概念,2020-12-18,0.076
业绩预升,2020-12-18,0.115
物联网,2021-01-08,-0.101
污水处理,2021-01-08,0.043
金融参股,2021-01-08,0.023
国企改革,2021-01-13,0.094
基因测序,2020-12-30,0.013
苹果概念,2020-12-24,-0.144
赛马概念,2020-12-24,-0.098
风能概念,2020-12-24,0.013
体育概念,2020-12-23,0.036
业绩预升,2020-12-23,0.307
氢燃料,2021-01-04,0.029
送转潜力,2021-01-11,-0.394
垃圾分类,2020-12-29,-0.01
节能环保,2020-12-29,-0.07
基因概念,2021-01-05,0.334
新能源,2021-01-05,-0.049
深圳本地,2021-01-08,0.043
智能机器,2020-12-21,0.135
电子支付,2021-01-13,0.013
网络游戏,2021-01-13,-0.134
智能穿戴,2020-12-31,0.416
高校背景,2020-12-24,-0.231
本月解禁,2020-12-24,0.029
股权激励,2020-12-24,-0.361
甲型流感,2020-12-24,-0.486
信托重仓,2021-01-04,0.355
黄河三角,2020-12-17,0.07
低碳经济,2021-01-11,-0.135
陕甘宁,2020-12-29,-0.102
社保重仓,2021-01-05,0.858
海峡西岸,2021-01-06,-0.305
奢侈品,2021-01-06,2.63
维生素,2021-01-06,-0.212
油气改革,2021-01-08,-0.04
无线耳机,2021-01-13,0.11
摘帽概念,2021-01-13,0.385
海峡西岸,2020-12-30,0.24
生物燃料,2020-12-30,0.126
水利建设,2020-12-31,0.041
深圳本地,2020-12-31,0.119
皖江区域,2020-12-24,-0.21
天津自贸,2020-12-24,-0.076
污水处理,2020-12-23,0.004
华为概念,2020-12-17,0.077
天津自贸,2021-01-11,-0.09
5G概念,2020-12-22,-0.286
天津自贸,2020-12-22,-0.081
体育概念,2020-12-28,-0.048
抗癌,2020-12-28,-0.366
雄安新区,2020-12-25,0.102
参股金融,2021-01-06,0.005
QFII重仓,2020-12-18,-0.233
页岩气,2021-01-13,0.002
高校背景,2021-01-07,-0.337
东亚自贸,2020-12-24,-0.064
前海概念,2020-12-24,-0.603
华为概念,2020-12-23,0.246
节能环保,2021-01-04,0.151
华为概念,2021-01-11,-0.183
基金重仓,2020-12-22,0.175
稀缺资源,2020-12-28,0.052
分拆上市,2020-12-28,-0.218
绿色照明,2020-12-29,0.067
电子支付,2021-01-12,0.158
水域改革,2021-01-12,0.108
电商概念,2021-01-05,0.041
5G概念,2020-12-18,-0.108
民营医院,2021-01-08,-0.06
超级细菌,2020-12-21,0.03
汽车电子,2021-01-13,-0.673
乡村振兴,2020-12-30,0.194
外资背景,2020-12-30,0.342
涉矿概念,2020-12-23,0.14
雄安新区,2021-01-04,0.119
赛马概念,2021-01-04,0.076
风能概念,2021-01-04,0.189
风能,2020-12-22,-0.244
业绩预升,2020-12-28,-0.094
氢能源,2021-01-12,0.039
绿色照明,2021-01-12,0.122
固废处理,2020-12-25,0.189
固废处理,2021-01-05,-0.065
5G概念,2021-01-08,0.185
社保重仓,2021-01-13,-0.328
武汉规划,2021-01-04,0.154
金融参股,2021-01-04,0.037
股权激励,2021-01-04,0.195
水利建设,2021-01-11,-0.115
业绩预升,2021-01-11,-0.224
外资背景,2021-01-11,-0.546
华为概念,2020-12-22,-0.488
皖江区域,2020-12-28,-0.074
水域改革,2021-01-05,0.433
汽车电子,2021-01-05,0.281
特斯拉,2021-01-06,-0.356
风能,2021-01-13,-0.022
猪肉,2021-01-07,0.093
智能机器,2021-01-07,-0.238
高校背景,2020-12-30,-0.003
土地流转,2020-12-24,-0.114
生态农业,2020-12-24,-0.35
免疫治疗,2020-12-23,-0.167
锂电池,2020-12-23,0.422
央企50,2020-12-23,0.133
小米概念,2020-12-17,0.116
含H股,2020-12-17,0.126
智能电网,2021-01-11,-0.541
海上丝路,2020-12-22,-0.138
生物育种,2021-01-12,0.201
外资背景,2021-01-12,0.502
苹果概念,2020-12-25,0.152
高校背景,2020-12-18,-0.152
智能家居,2021-01-08,0.013
自贸区,2021-01-08,-0.057
电子支付,2020-12-21,0.285
股权激励,2021-01-13,-0.371
油气改革,2021-01-07,-0.013
武汉规划,2020-12-31,0.158
基因概念,2020-12-24,-1.029
卫星导航,2021-01-04,0.702
石墨烯,2021-01-04,0.338
三沙概念,2020-12-22,-0.115
高校背景,2020-12-28,-0.235
风能,2020-12-29,-0.297
信托重仓,2021-01-06,0.132
军民融合,2020-12-30,0.118
建筑节能,2020-12-30,0.117
整体上市,2021-01-04,0.348
消费电子,2020-12-22,-0.512
碳纤维,2020-12-22,-0.223
安防服务,2020-12-28,-0.129
互联金融,2020-12-29,0.289
成渝特区,2021-01-12,0.313
黄金概念,2021-01-12,0.025
海峡西岸,2020-12-25,0.156
民营医院,2021-01-06,0.771
军民融合,2021-01-08,-0.336
重组概念,2021-01-08,-0.069
地热能,2020-12-21,0.063
奢侈品,2020-12-31,5.696
雄安新区,2020-12-23,0.108
抗癌,2021-01-04,0.09
仿制药,2021-01-11,-1.337
海工装备,2021-01-11,-0.036
分拆上市,2021-01-11,-0.533
风能概念,2020-12-28,-0.009
长株潭,2020-12-29,-0.074
内贸规划,2020-12-29,0.085
未股改,2020-12-29,-0.011
充电桩,2021-01-12,0.368
免疫治疗,2021-01-08,0.123
奢侈品,2020-12-21,0.887
民营银行,2020-12-21,0.143
锂电池,2021-01-13,-0.509
含GDR,2021-01-07,0.05
体育概念,2021-01-07,-0.151
网络游戏,2020-12-30,0.051
日韩贸易,2020-12-30,0.02
触摸屏,2020-12-31,0.211
含GDR,2021-01-04,0.03
金融改革,2020-12-17,0.135
3D打印,2020-12-22,-0.368
重组概念,2020-12-22,-0.197
婴童概念,2020-12-28,-0.017
生物育种,2020-12-28,0.767
上海本地,2020-12-29,-0.025
基金重仓,2020-12-29,-0.167
股期概念,2021-01-12,0.215
无线耳机,2021-01-06,-0.691
猪肉,2020-12-18,-0.397
重组概念,2020-12-21,0.145
基因测序,2021-01-13,-0.183
互联金融,2021-01-13,-0.559
业绩预降,2021-01-13,-0.134
锂电池,2021-01-07,0.506
基因概念,2021-01-07,-0.468
智能穿戴,2021-01-07,-0.475
海南自贸,2020-12-30,0.25
央企50,2020-12-24,0.04
海南自贸,2020-12-23,0.361
沿海发展,2021-01-11,-0.327
ST板块,2020-12-29,-0.101
含GDR,2021-01-12,1.4
海工装备,2021-01-12,0.27
QFII重仓,2021-01-12,0.977
风能,2021-01-06,0.006
上海自贸,2020-12-21,-0.048
生物燃料,2020-12-21,0.236
草甘膦,2021-01-07,0.373
黄金概念,2020-12-30,0.033
业绩预升,2020-12-30,0.142
新能源,2020-12-30,0.183
宽带提速,2020-12-23,0.027
3D打印,2020-12-23,0.22
3D打印,2020-12-17,0.113
土地流转,2020-12-17,0.018
出口退税,2020-12-17,0.241
振兴沈阳,2020-12-22,-0.14
光伏概念,2020-12-29,-1.309
东亚自贸,2020-12-29,-0.002
武汉规划,2021-01-12,0.093
未股改,2021-01-05,-0.054
生物疫苗,2020-12-18,0.154
宽带提速,2021-01-08,0.336
婴童概念,2021-01-08,0.083
聚氨酯,2020-12-30,0.085
国防军工,2020-12-23,0.74
重组概念,2020-12-23,0.172
充电桩,2020-12-23,0.447
社保重仓,2020-12-23,0.103
华为概念,2020-12-28,-0.426
低碳经济,2020-12-29,-0.154
绿色照明,2021-01-05,0.246
百度概念,2021-01-06,-0.624
电商概念,2021-01-06,-0.817
聚氨酯,2020-12-21,0.301
民营医院,2020-12-21,0.498
黄金概念,2021-01-13,-0.038
文化振兴,2021-01-07,-0.216
基金重仓,2020-12-30,1.256
地热能,2020-12-24,-0.061
地热能,2020-12-22,-0.134
固废处理,2020-12-22,-0.175
空气治理,2021-01-12,0.137
污水处理,2021-01-12,-0.007
水利建设,2020-12-25,0.103
碳纤维,2020-12-25,0.036
摘帽概念,2020-12-25,0.058
华为概念,2021-01-05,0.4
汽车电子,2020-12-18,-0.102
猪肉,2021-01-08,-0.619
国产软件,2020-12-21,0.341
陕甘宁,2020-12-24,-0.154
草甘膦,2021-01-04,-0.107
电商概念,2020-12-22,-0.533
超级细菌,2021-01-12,0.256
ST板块,2021-01-06,-0.115
社保重仓,2020-12-18,-0.065
未股改,2021-01-13,-0.056
上海自贸,2020-12-31,0.218
海峡西岸,2020-12-23,0.037
苹果概念,2020-12-17,0.11
垃圾分类,2020-12-28,-0.146
内贸规划,2020-12-28,-0.218
金融参股,2020-12-28,-0.064
可燃冰,2021-01-12,0.322
婴童概念,2021-01-05,1.098
分拆上市,2021-01-06,0.492
乡村振兴,2020-12-18,0.194
融资融券,2020-12-18,-0.02
氢能源,2020-12-21,0.229
基金重仓,2021-01-07,1.161
3D打印,2020-12-30,0.238
智能穿戴,2020-12-23,0.388
低碳经济,2021-01-04,0.24
券商重仓,2021-01-11,-0.36
摘帽概念,2020-12-22,0.018
资产注入,2020-12-22,-0.214
生态农业,2021-01-12,0.185
券商重仓,2021-01-12,0.478
可燃冰,2021-01-05,-0.056
建筑节能,2021-01-05,0.098
分拆上市,2021-01-05,0.084
沿海发展,2021-01-05,0.2
民营银行,2021-01-13,-0.06
博彩概念,2020-12-30,0.087
博彩概念,2020-12-31,0.365
资产注入,2020-12-31,0.122
氢能源,2021-01-04,0.15
页岩气,2021-01-04,0.021
氢能源,2020-12-17,0.129
高校背景,2020-12-29,0.024
天津自贸,2021-01-05,-0.094
循环经济,2021-01-05,-0.015
皖江区域,2021-01-06,0.123
成渝特区,2020-12-18,0.021
安防服务,2021-01-08,0.033
