bankuai,top_stock_name,cnt,rank
生物育种,正邦科技,19,5
基因测序,科华生物,19,4
绿色照明,珈伟新能,19,1
海工装备,东方电热,19,1
机器人概念,蓝英装备,19,1
前海概念,深天地Ａ,19,3
前海概念,深物业A,19,4
国企改革,格力地产,19,1
甲型流感,中牧股份,19,4
股期概念,新黄浦,19,2
振兴沈阳,曙光股份,19,3
武汉规划,人福医药,19,1
猪肉,顺鑫农业,19,3
互联金融,西水股份,19,3
循环经济,泰达股份,19,1
三沙概念,海南海药,19,5
宽带提速,*ST新海,19,3
日韩贸易,特锐德,19,3
日韩贸易,海联金汇,19,4
充电桩,阳光电源,19,1
免疫治疗,冠昊生物,18,2
内贸规划,王府井,18,2
乡村振兴,智慧农业,18,1
乡村振兴,獐子岛,18,2
央企50,中远海控,18,1
央企50,保变电气,18,2
超导概念,汉缆股份,18,4
超导概念,*ST梦舟,18,5
汽车电子,金龙机电,18,1
资产注入,金晶科技,18,1
碳纤维,华伍股份,18,2
迪士尼,华域汽车,18,4
体育概念,大湖股份,18,2
准ST股,金健米业,18,1
信息安全,美亚柏科,18,5
基因测序,利德曼,18,5
百度概念,力帆股份,18,1
水利建设,大禹节水,18,2
电商概念,国新健康,18,5
智能穿戴,九安医疗,18,3
海水淡化,宝钛股份,18,4
股期概念,美尔雅,18,3
仿制药,华海药业,18,2
仿制药,山河药辅,18,3
猪肉,大康农业,18,4
互联金融,ST天成,18,4
互联金融,小商品城,18,5
风能,阳光电源,18,1
赛马概念,日发精机,18,4
赛马概念,亚通股份,18,5
固废处理,泰达股份,18,1
金融改革,腾邦国际,18,1
卫星导航,新宁物流,18,2
ST板块,獐子岛,18,1
外资背景,水井坊,18,2
宽带提速,特发信息,18,4
日韩贸易,普洛药业,18,5
页岩气,巨星科技,18,1
送转潜力,煌上煌,18,2
陕甘宁,彩虹股份,17,1
朝鲜改革,奥普光电,17,2
食品安全,华测检测,17,3
智能机器,蓝英装备,17,2
智能机器,华昌达,17,3
内贸规划,百联股份,17,3
图们江,诺德股份,17,1
图们江,华微电子,17,2
图们江,吉林森工,17,3
特斯拉,江淮汽车,17,1
高校背景,方正证券,17,4
高校背景,天喻信息,17,5
资产注入,沈阳化工,17,2
资产注入,供销大集,17,3
生态农业,顺鑫农业,17,4
碳纤维,博云新材,17,3
上海自贸,锦江酒店,17,3
氢能源,德威新材,17,1
国产软件,石基信息,17,2
国产软件,荣科科技,17,3
百度概念,佳云科技,17,2
百度概念,小康股份,17,3
水利建设,国网信通,17,3
水利建设,*ST围海,17,4
智能穿戴,得润电子,17,4
QFII重仓,朗姿股份,17,2
甲型流感,联环药业,17,5
振兴沈阳,恒力石化,17,4
仿制药,康芝药业,17,4
仿制药,景峰医药,17,5
自贸区,中广核技,17,2
自贸区,渤海轮渡,17,3
摘帽概念,酒鬼酒,17,2
民营医院,ST康美,17,5
外资背景,珠海中富,17,3
苹果概念,比亚迪,17,1
宽带提速,*ST胜尔,17,5
送转潜力,新文化,17,3
污水处理,津膜科技,17,1
整体上市,中水渔业,17,1
朝鲜改革,华微电子,16,3
食品安全,厦门信达,16,4
食品安全,赞宇科技,16,5
免疫治疗,复星医药,16,3
央企50,三友化工,16,3
地热能,隆华科技,16,5
风能概念,新赛股份,16,1
风能概念,*ST湘电,16,2
涉矿概念,奥特佳,16,1
建筑节能,海南发展,16,5
特斯拉,天齐锂业,16,2
深圳本地,深康佳Ａ,16,1
生态农业,荃银高科,16,5
京津冀,长城汽车,16,1
国产软件,华胜天成,16,4
国产软件,宝信软件,16,5
土地流转,吉林森工,16,1
百度概念,数据港,16,4
百度概念,德赛西威,16,5
核电核能,中飞股份,16,1
海工装备,天海防务,16,2
海工装备,宝德股份,16,3
触摸屏,金龙机电,16,1
业绩预升,江淮汽车,16,1
网络游戏,邦讯技术,16,1
婴童概念,戴维医疗,16,4
振兴沈阳,航锦科技,16,5
武汉规划,华灿光电,16,2
猪肉,龙大肉食,16,5
东亚自贸,海联金汇,16,2
消费电子,超频三,16,2
自贸区,海联金汇,16,4
自贸区,宁波海运,16,5
低碳经济,金晶科技,16,1
固废处理,贵研铂业,16,2
卫星导航,中元股份,16,3
卫星导航,美年健康,16,4
ST板块,华菱星马,16,2
外资背景,阳光股份,16,4
外资背景,重庆啤酒,16,5
苹果概念,昌红科技,16,2
超大盘,长江电力,16,4
超大盘,宝钢股份,16,5
油气改革,宝利国际,16,2
送转潜力,长鹰信质,16,4
送转潜力,博雅生物,16,5
聚氨酯,航锦科技,16,3
免疫治疗,阳普医疗,15,4
智能机器,英唐智控,15,4
央企50,中国卫星,15,4
风能概念,*ST华仪,15,3
涉矿概念,智慧农业,15,2
涉矿概念,晶澳科技,15,3
未股改,海航科技,15,4
汽车电子,启明信息,15,2
节能环保,蓝英装备,15,1
资产注入,航天长峰,15,4
皖江区域,阳光电源,15,1
皖江区域,新力金融,15,2
沿海发展,智慧农业,15,2
沿海发展,国轩高科,15,3
京津冀,万方发展,15,2
京津冀,巨力索具,15,3
京津冀,钢研高纳,15,4
碳纤维,亿帆医药,15,4
碳纤维,精功科技,15,5
上海自贸,怡 亚 通,15,4
上海自贸,华虹计通,15,5
出口退税,海正药业,15,1
氢能源,深冷股份,15,2
迪士尼,强生控股,15,5
土地流转,大湖股份,15,2
文化振兴,拓维信息,15,2
水利建设,中金环境,15,5
抗癌,*ST恒康,15,1
核电核能,通裕重工,15,2
智能穿戴,长电科技,15,5
基因概念,阳普医疗,15,2
业绩预升,珈伟新能,15,2
前海概念,爱施德,15,5
含H股,郑煤机,15,1
