price,vol,stock_index,dt
5.22,331900.0,000908,2020-12-15
5.2,151600.0,000908,2020-12-15
5.19,14400.0,000908,2020-12-15
5.17,10300.0,000908,2020-12-15
5.16,241800.0,000908,2020-12-15
5.15,80800.0,000908,2020-12-15
5.14,341600.0,000908,2020-12-15
5.13,466900.0,000908,2020-12-15
5.12,522400.0,000908,2020-12-15
5.11,374500.0,000908,2020-12-15
5.1,1209010.0,000908,2020-12-15
5.09,729810.0,000908,2020-12-15
5.08,676790.0,000908,2020-12-15
5.07,2283490.0,000908,2020-12-15
5.06,3646000.0,000908,2020-12-15
5.05,4321599.0,000908,2020-12-15
5.04,3049710.0,000908,2020-12-15
5.03,5212510.0,000908,2020-12-15
5.02,4092317.0,000908,2020-12-15
5.01,552600.0,000908,2020-12-15
5.0,2310700.0,000908,2020-12-15
4.99,868952.0,000908,2020-12-15
4.98,1975421.0,000908,2020-12-15
4.97,500800.0,000908,2020-12-15
4.96,325200.0,000908,2020-12-15
4.95,323100.0,000908,2020-12-15
4.94,245700.0,000908,2020-12-15
4.9,56600.0,000908,2020-12-15
