price,vol,stock_index,dt
9.18,9000.0,000798,2020-12-15
9.17,252400.0,000798,2020-12-15
9.16,177100.0,000798,2020-12-15
9.15,463900.0,000798,2020-12-15
9.14,511200.0,000798,2020-12-15
9.13,1071600.0,000798,2020-12-15
9.12,769500.0,000798,2020-12-15
9.11,424299.0,000798,2020-12-15
9.1,761600.0,000798,2020-12-15
9.09,489300.0,000798,2020-12-15
9.08,321100.0,000798,2020-12-15
9.07,274700.0,000798,2020-12-15
9.06,506000.0,000798,2020-12-15
9.05,323300.0,000798,2020-12-15
9.04,372200.0,000798,2020-12-15
9.03,557933.0,000798,2020-12-15
9.02,310100.0,000798,2020-12-15
9.01,504100.0,000798,2020-12-15
9.0,1519800.0,000798,2020-12-15
8.99,1084200.0,000798,2020-12-15
8.98,1184000.0,000798,2020-12-15
8.97,684570.0,000798,2020-12-15
8.96,629733.0,000798,2020-12-15
8.95,905367.0,000798,2020-12-15
8.94,795100.0,000798,2020-12-15
8.93,1077300.0,000798,2020-12-15
8.92,1071643.0,000798,2020-12-15
8.91,1162400.0,000798,2020-12-15
8.9,1584400.0,000798,2020-12-15
8.89,933200.0,000798,2020-12-15
8.88,2473107.0,000798,2020-12-15
8.87,1643414.0,000798,2020-12-15
8.86,1167986.0,000798,2020-12-15
8.85,705400.0,000798,2020-12-15
8.84,641600.0,000798,2020-12-15
8.83,1245600.0,000798,2020-12-15
8.82,997155.0,000798,2020-12-15
8.81,191300.0,000798,2020-12-15
8.8,709600.0,000798,2020-12-15
8.79,660007.0,000798,2020-12-15
8.78,219693.0,000798,2020-12-15
8.77,35300.0,000798,2020-12-15
8.76,18000.0,000798,2020-12-15
8.75,111400.0,000798,2020-12-15
