price,vol,stock_index,dt
11.63,36400.0,601717,2020-12-15
11.62,174000.0,601717,2020-12-15
11.61,462632.0,601717,2020-12-15
11.6,829000.0,601717,2020-12-15
11.59,621185.0,601717,2020-12-15
11.58,693389.0,601717,2020-12-15
11.57,887307.0,601717,2020-12-15
11.56,1139833.0,601717,2020-12-15
11.55,767689.0,601717,2020-12-15
11.54,1795798.0,601717,2020-12-15
11.53,1210289.0,601717,2020-12-15
11.52,1018872.0,601717,2020-12-15
11.51,1312051.0,601717,2020-12-15
11.5,2362770.0,601717,2020-12-15
11.49,940559.0,601717,2020-12-15
11.48,819069.0,601717,2020-12-15
11.47,1128370.0,601717,2020-12-15
11.46,846676.0,601717,2020-12-15
11.45,969695.0,601717,2020-12-15
11.44,1365642.0,601717,2020-12-15
11.43,336459.0,601717,2020-12-15
11.42,542699.0,601717,2020-12-15
11.41,471314.0,601717,2020-12-15
11.4,693560.0,601717,2020-12-15
11.39,783882.0,601717,2020-12-15
11.38,818569.0,601717,2020-12-15
11.37,933321.0,601717,2020-12-15
11.36,1227857.0,601717,2020-12-15
11.35,1203397.0,601717,2020-12-15
11.34,1330256.0,601717,2020-12-15
11.33,1319808.0,601717,2020-12-15
11.32,1257594.0,601717,2020-12-15
11.31,738384.0,601717,2020-12-15
11.3,1408331.0,601717,2020-12-15
11.29,423738.0,601717,2020-12-15
11.28,722354.0,601717,2020-12-15
11.27,682017.0,601717,2020-12-15
11.26,547031.0,601717,2020-12-15
11.25,232720.0,601717,2020-12-15
11.24,328028.0,601717,2020-12-15
11.23,107900.0,601717,2020-12-15
11.22,79300.0,601717,2020-12-15
11.21,112856.0,601717,2020-12-15
11.2,72518.0,601717,2020-12-15
11.19,69400.0,601717,2020-12-15
11.17,6600.0,601717,2020-12-15
