price,vol,stock_index,dt
32.91,700.0,603650,2020-12-15
32.9,2100.0,603650,2020-12-15
32.89,7447.0,603650,2020-12-15
32.88,16853.0,603650,2020-12-15
32.87,18900.0,603650,2020-12-15
32.86,4400.0,603650,2020-12-15
32.85,14600.0,603650,2020-12-15
32.83,5900.0,603650,2020-12-15
32.82,4700.0,603650,2020-12-15
32.81,2500.0,603650,2020-12-15
32.8,14760.0,603650,2020-12-15
32.79,6800.0,603650,2020-12-15
32.78,4100.0,603650,2020-12-15
32.77,9149.0,603650,2020-12-15
32.76,5736.0,603650,2020-12-15
32.75,4500.0,603650,2020-12-15
32.74,2000.0,603650,2020-12-15
32.73,10937.0,603650,2020-12-15
32.72,9155.0,603650,2020-12-15
32.71,8300.0,603650,2020-12-15
32.7,28400.0,603650,2020-12-15
32.69,15290.0,603650,2020-12-15
32.68,10261.0,603650,2020-12-15
32.67,10000.0,603650,2020-12-15
32.66,22876.0,603650,2020-12-15
32.65,27250.0,603650,2020-12-15
32.64,15161.0,603650,2020-12-15
32.63,8063.0,603650,2020-12-15
32.62,3663.0,603650,2020-12-15
32.61,14152.0,603650,2020-12-15
32.6,27104.0,603650,2020-12-15
32.59,17210.0,603650,2020-12-15
32.58,22769.0,603650,2020-12-15
32.57,17603.0,603650,2020-12-15
32.56,25082.0,603650,2020-12-15
32.55,6900.0,603650,2020-12-15
32.54,15316.0,603650,2020-12-15
32.53,10798.0,603650,2020-12-15
32.52,8452.0,603650,2020-12-15
32.51,15649.0,603650,2020-12-15
32.5,30151.0,603650,2020-12-15
32.49,11147.0,603650,2020-12-15
32.48,11301.0,603650,2020-12-15
32.47,25083.0,603650,2020-12-15
32.46,34448.0,603650,2020-12-15
32.45,32712.0,603650,2020-12-15
32.44,25900.0,603650,2020-12-15
32.43,23517.0,603650,2020-12-15
32.42,31212.0,603650,2020-12-15
32.41,23415.0,603650,2020-12-15
32.4,16975.0,603650,2020-12-15
32.39,37584.0,603650,2020-12-15
32.38,22200.0,603650,2020-12-15
32.37,30149.0,603650,2020-12-15
32.36,14100.0,603650,2020-12-15
32.35,39500.0,603650,2020-12-15
32.34,8238.0,603650,2020-12-15
32.33,9706.0,603650,2020-12-15
32.32,12900.0,603650,2020-12-15
32.31,25188.0,603650,2020-12-15
32.3,22314.0,603650,2020-12-15
32.29,33562.0,603650,2020-12-15
32.28,50737.0,603650,2020-12-15
32.27,16269.0,603650,2020-12-15
32.26,55444.0,603650,2020-12-15
32.25,27400.0,603650,2020-12-15
32.24,18598.0,603650,2020-12-15
32.23,63572.0,603650,2020-12-15
32.22,60424.0,603650,2020-12-15
32.21,39400.0,603650,2020-12-15
32.2,135953.0,603650,2020-12-15
32.19,39549.0,603650,2020-12-15
32.18,33853.0,603650,2020-12-15
32.17,52100.0,603650,2020-12-15
32.16,24000.0,603650,2020-12-15
32.15,134275.0,603650,2020-12-15
32.14,22100.0,603650,2020-12-15
32.13,42931.0,603650,2020-12-15
32.12,35100.0,603650,2020-12-15
32.11,25966.0,603650,2020-12-15
32.1,62700.0,603650,2020-12-15
32.09,54900.0,603650,2020-12-15
32.08,9235.0,603650,2020-12-15
32.07,20300.0,603650,2020-12-15
32.06,6749.0,603650,2020-12-15
32.02,1200.0,603650,2020-12-15
32.01,26400.0,603650,2020-12-15
32.0,70100.0,603650,2020-12-15
