price,vol,stock_index,dt
9.85,1700.0,600543,2020-12-15
9.84,94900.0,600543,2020-12-15
9.83,447200.0,600543,2020-12-15
9.82,340700.0,600543,2020-12-15
9.81,176600.0,600543,2020-12-15
9.8,378300.0,600543,2020-12-15
9.79,237100.0,600543,2020-12-15
9.78,186300.0,600543,2020-12-15
9.77,355333.0,600543,2020-12-15
9.76,104500.0,600543,2020-12-15
9.75,844685.0,600543,2020-12-15
9.74,680102.0,600543,2020-12-15
9.73,701433.0,600543,2020-12-15
9.72,541980.0,600543,2020-12-15
9.71,923295.0,600543,2020-12-15
9.7,831523.0,600543,2020-12-15
9.69,1272787.0,600543,2020-12-15
9.68,806400.0,600543,2020-12-15
9.67,913306.0,600543,2020-12-15
9.66,759294.0,600543,2020-12-15
9.65,1245629.0,600543,2020-12-15
9.64,885529.0,600543,2020-12-15
9.63,632600.0,600543,2020-12-15
9.62,668200.0,600543,2020-12-15
9.61,406699.0,600543,2020-12-15
9.6,856472.0,600543,2020-12-15
9.59,693394.0,600543,2020-12-15
9.58,1154953.0,600543,2020-12-15
9.57,1251600.0,600543,2020-12-15
9.56,1042900.0,600543,2020-12-15
9.55,1225120.0,600543,2020-12-15
9.54,1533594.0,600543,2020-12-15
9.53,867053.0,600543,2020-12-15
9.52,1207123.0,600543,2020-12-15
9.51,1947380.0,600543,2020-12-15
9.5,1844700.0,600543,2020-12-15
9.49,1327000.0,600543,2020-12-15
9.48,997900.0,600543,2020-12-15
9.47,641291.0,600543,2020-12-15
9.46,609300.0,600543,2020-12-15
9.45,593456.0,600543,2020-12-15
9.44,267398.0,600543,2020-12-15
9.43,315267.0,600543,2020-12-15
9.42,498900.0,600543,2020-12-15
9.41,173035.0,600543,2020-12-15
9.4,459100.0,600543,2020-12-15
9.39,103500.0,600543,2020-12-15
9.38,129300.0,600543,2020-12-15
9.37,32000.0,600543,2020-12-15
9.36,223800.0,600543,2020-12-15
9.35,25300.0,600543,2020-12-15
9.34,205300.0,600543,2020-12-15
9.33,81800.0,600543,2020-12-15
9.32,70600.0,600543,2020-12-15
9.31,260253.0,600543,2020-12-15
