price,vol,stock_index,dt
11.04,5700.0,002038,2020-12-15
11.03,12300.0,002038,2020-12-15
11.02,74500.0,002038,2020-12-15
11.01,80007.0,002038,2020-12-15
11.0,589045.0,002038,2020-12-15
10.99,918074.0,002038,2020-12-15
10.98,790126.0,002038,2020-12-15
10.97,303314.0,002038,2020-12-15
10.96,145956.0,002038,2020-12-15
10.95,223774.0,002038,2020-12-15
10.94,70200.0,002038,2020-12-15
10.93,117700.0,002038,2020-12-15
10.92,232200.0,002038,2020-12-15
10.91,138000.0,002038,2020-12-15
10.9,134800.0,002038,2020-12-15
10.89,242700.0,002038,2020-12-15
10.88,89549.0,002038,2020-12-15
10.87,210200.0,002038,2020-12-15
10.86,161100.0,002038,2020-12-15
10.85,144274.0,002038,2020-12-15
10.84,79951.0,002038,2020-12-15
10.83,136800.0,002038,2020-12-15
10.82,118500.0,002038,2020-12-15
10.81,45250.0,002038,2020-12-15
10.8,50600.0,002038,2020-12-15
