price,vol,stock_index,dt
8.33,15100.0,300640,2020-12-15
8.32,4900.0,300640,2020-12-15
8.31,42800.0,300640,2020-12-15
8.3,51500.0,300640,2020-12-15
8.29,17800.0,300640,2020-12-15
8.28,17900.0,300640,2020-12-15
8.27,36900.0,300640,2020-12-15
8.26,34600.0,300640,2020-12-15
8.25,30650.0,300640,2020-12-15
8.24,103750.0,300640,2020-12-15
8.23,103610.0,300640,2020-12-15
8.22,76565.0,300640,2020-12-15
8.21,54600.0,300640,2020-12-15
8.2,25100.0,300640,2020-12-15
8.19,6900.0,300640,2020-12-15
8.18,93200.0,300640,2020-12-15
8.17,86800.0,300640,2020-12-15
8.16,94700.0,300640,2020-12-15
8.15,169700.0,300640,2020-12-15
8.14,52600.0,300640,2020-12-15
8.13,142860.0,300640,2020-12-15
8.12,74000.0,300640,2020-12-15
8.11,24600.0,300640,2020-12-15
