price,vol,stock_index,dt
62.22,73900.0,601995,2020-12-15
62.2,310200.0,601995,2020-12-15
62.19,111100.0,601995,2020-12-15
62.18,14200.0,601995,2020-12-15
62.17,55700.0,601995,2020-12-15
62.16,51000.0,601995,2020-12-15
62.15,198800.0,601995,2020-12-15
62.14,26000.0,601995,2020-12-15
62.13,7400.0,601995,2020-12-15
62.11,86111.0,601995,2020-12-15
62.1,87900.0,601995,2020-12-15
62.09,51300.0,601995,2020-12-15
62.07,142600.0,601995,2020-12-15
62.05,17700.0,601995,2020-12-15
62.01,76800.0,601995,2020-12-15
62.0,172589.0,601995,2020-12-15
61.99,132200.0,601995,2020-12-15
61.95,56200.0,601995,2020-12-15
61.92,11700.0,601995,2020-12-15
61.91,150000.0,601995,2020-12-15
61.9,119200.0,601995,2020-12-15
61.86,105400.0,601995,2020-12-15
61.85,40700.0,601995,2020-12-15
61.83,27700.0,601995,2020-12-15
61.82,149400.0,601995,2020-12-15
61.81,95100.0,601995,2020-12-15
61.8,184400.0,601995,2020-12-15
61.79,95200.0,601995,2020-12-15
61.78,80400.0,601995,2020-12-15
61.77,39200.0,601995,2020-12-15
61.76,96300.0,601995,2020-12-15
61.75,105600.0,601995,2020-12-15
61.74,77800.0,601995,2020-12-15
61.73,108300.0,601995,2020-12-15
61.72,79700.0,601995,2020-12-15
61.71,71000.0,601995,2020-12-15
61.7,201500.0,601995,2020-12-15
61.69,167500.0,601995,2020-12-15
61.68,54500.0,601995,2020-12-15
61.67,24000.0,601995,2020-12-15
61.66,76600.0,601995,2020-12-15
61.65,123500.0,601995,2020-12-15
61.63,2300.0,601995,2020-12-15
61.62,80900.0,601995,2020-12-15
61.61,199000.0,601995,2020-12-15
61.6,506800.0,601995,2020-12-15
61.59,44200.0,601995,2020-12-15
61.58,42100.0,601995,2020-12-15
61.57,162800.0,601995,2020-12-15
61.56,76000.0,601995,2020-12-15
61.55,104600.0,601995,2020-12-15
61.54,4000.0,601995,2020-12-15
61.53,107800.0,601995,2020-12-15
61.52,123767.0,601995,2020-12-15
61.51,262600.0,601995,2020-12-15
61.5,1167763.0,601995,2020-12-15
61.49,535300.0,601995,2020-12-15
61.48,355703.0,601995,2020-12-15
61.47,227255.0,601995,2020-12-15
61.46,179600.0,601995,2020-12-15
61.45,196692.0,601995,2020-12-15
61.44,15700.0,601995,2020-12-15
61.43,70800.0,601995,2020-12-15
61.42,60500.0,601995,2020-12-15
61.41,214200.0,601995,2020-12-15
61.4,268245.0,601995,2020-12-15
61.39,138920.0,601995,2020-12-15
61.38,129400.0,601995,2020-12-15
61.37,80300.0,601995,2020-12-15
61.36,141090.0,601995,2020-12-15
61.35,160200.0,601995,2020-12-15
61.34,85400.0,601995,2020-12-15
61.33,157271.0,601995,2020-12-15
61.32,219429.0,601995,2020-12-15
