price,vol,stock_index,dt
5.98,195200.0,600257,2020-12-15
5.97,1632700.0,600257,2020-12-15
5.96,1728500.0,600257,2020-12-15
5.95,2287000.0,600257,2020-12-15
5.94,2344215.0,600257,2020-12-15
5.93,3161167.0,600257,2020-12-15
5.92,4057814.0,600257,2020-12-15
5.91,2677558.0,600257,2020-12-15
5.9,3784000.0,600257,2020-12-15
5.89,1984100.0,600257,2020-12-15
5.88,2189000.0,600257,2020-12-15
5.87,2027633.0,600257,2020-12-15
5.86,1725942.0,600257,2020-12-15
5.85,1962724.0,600257,2020-12-15
5.84,1885900.0,600257,2020-12-15
5.83,2357429.0,600257,2020-12-15
5.82,3360519.0,600257,2020-12-15
5.81,3362800.0,600257,2020-12-15
5.8,4117165.0,600257,2020-12-15
5.79,2537272.0,600257,2020-12-15
5.78,2562800.0,600257,2020-12-15
5.77,1859400.0,600257,2020-12-15
5.76,1937684.0,600257,2020-12-15
5.75,2551362.0,600257,2020-12-15
5.74,935000.0,600257,2020-12-15
5.73,2127616.0,600257,2020-12-15
5.72,2528225.0,600257,2020-12-15
5.71,2115000.0,600257,2020-12-15
5.7,2648977.0,600257,2020-12-15
5.69,3735229.0,600257,2020-12-15
5.68,4101324.0,600257,2020-12-15
5.67,4599360.0,600257,2020-12-15
5.66,2780715.0,600257,2020-12-15
5.65,1354331.0,600257,2020-12-15
5.64,1560124.0,600257,2020-12-15
5.63,1800400.0,600257,2020-12-15
5.62,2210998.0,600257,2020-12-15
5.61,1439375.0,600257,2020-12-15
5.6,1399600.0,600257,2020-12-15
5.59,1375002.0,600257,2020-12-15
5.58,1066899.0,600257,2020-12-15
5.57,925100.0,600257,2020-12-15
5.56,397328.0,600257,2020-12-15
5.55,1002013.0,600257,2020-12-15
