price,vol,stock_index,dt
9.37,100.0,300053,2020-12-15
9.36,900.0,300053,2020-12-15
9.35,27000.0,300053,2020-12-15
9.34,127400.0,300053,2020-12-15
9.33,102800.0,300053,2020-12-15
9.32,180200.0,300053,2020-12-15
9.31,311200.0,300053,2020-12-15
9.3,327800.0,300053,2020-12-15
9.29,494342.0,300053,2020-12-15
9.28,725300.0,300053,2020-12-15
9.27,781500.0,300053,2020-12-15
9.26,587300.0,300053,2020-12-15
9.25,318100.0,300053,2020-12-15
9.24,100300.0,300053,2020-12-15
9.23,112800.0,300053,2020-12-15
9.22,203000.0,300053,2020-12-15
9.21,116000.0,300053,2020-12-15
9.2,155600.0,300053,2020-12-15
9.19,127296.0,300053,2020-12-15
9.18,55388.0,300053,2020-12-15
9.17,48300.0,300053,2020-12-15
