price,vol,stock_index,dt
15.57,68400.0,300318,2020-12-15
15.54,86100.0,300318,2020-12-15
15.53,195500.0,300318,2020-12-15
15.52,61600.0,300318,2020-12-15
15.51,160000.0,300318,2020-12-15
15.5,320300.0,300318,2020-12-15
15.49,109600.0,300318,2020-12-15
15.48,79800.0,300318,2020-12-15
15.47,25700.0,300318,2020-12-15
15.46,35300.0,300318,2020-12-15
15.45,343300.0,300318,2020-12-15
15.44,73900.0,300318,2020-12-15
15.43,170700.0,300318,2020-12-15
15.42,106000.0,300318,2020-12-15
15.41,264100.0,300318,2020-12-15
15.4,489400.0,300318,2020-12-15
15.39,397260.0,300318,2020-12-15
15.38,177860.0,300318,2020-12-15
15.37,288240.0,300318,2020-12-15
15.36,647100.0,300318,2020-12-15
15.35,507596.0,300318,2020-12-15
15.34,273000.0,300318,2020-12-15
15.33,456100.0,300318,2020-12-15
15.32,420300.0,300318,2020-12-15
15.31,469100.0,300318,2020-12-15
15.3,758900.0,300318,2020-12-15
15.29,620100.0,300318,2020-12-15
15.28,527192.0,300318,2020-12-15
15.27,757300.0,300318,2020-12-15
15.26,650400.0,300318,2020-12-15
15.25,476200.0,300318,2020-12-15
15.24,424313.0,300318,2020-12-15
15.23,246600.0,300318,2020-12-15
15.22,415200.0,300318,2020-12-15
15.21,459400.0,300318,2020-12-15
15.2,287400.0,300318,2020-12-15
15.19,344200.0,300318,2020-12-15
15.18,382600.0,300318,2020-12-15
15.17,235900.0,300318,2020-12-15
15.16,245800.0,300318,2020-12-15
15.15,222800.0,300318,2020-12-15
15.14,154800.0,300318,2020-12-15
15.13,273800.0,300318,2020-12-15
15.12,456700.0,300318,2020-12-15
15.11,602800.0,300318,2020-12-15
15.1,231100.0,300318,2020-12-15
15.09,263000.0,300318,2020-12-15
15.08,193500.0,300318,2020-12-15
15.07,322500.0,300318,2020-12-15
15.06,277100.0,300318,2020-12-15
15.05,565400.0,300318,2020-12-15
15.04,213100.0,300318,2020-12-15
15.03,388400.0,300318,2020-12-15
15.02,215100.0,300318,2020-12-15
15.01,435100.0,300318,2020-12-15
15.0,380100.0,300318,2020-12-15
14.99,275239.0,300318,2020-12-15
14.98,184500.0,300318,2020-12-15
14.97,279500.0,300318,2020-12-15
14.96,407900.0,300318,2020-12-15
14.95,311900.0,300318,2020-12-15
14.94,87800.0,300318,2020-12-15
14.93,54700.0,300318,2020-12-15
14.92,70300.0,300318,2020-12-15
14.91,243400.0,300318,2020-12-15
14.9,739100.0,300318,2020-12-15
14.89,238897.0,300318,2020-12-15
14.88,273810.0,300318,2020-12-15
14.87,232875.0,300318,2020-12-15
14.86,311600.0,300318,2020-12-15
14.85,239510.0,300318,2020-12-15
14.84,133100.0,300318,2020-12-15
14.83,214090.0,300318,2020-12-15
14.82,209900.0,300318,2020-12-15
14.81,186400.0,300318,2020-12-15
14.8,576491.0,300318,2020-12-15
14.79,504600.0,300318,2020-12-15
14.78,420300.0,300318,2020-12-15
14.77,371900.0,300318,2020-12-15
14.76,418100.0,300318,2020-12-15
14.75,565900.0,300318,2020-12-15
14.74,175900.0,300318,2020-12-15
14.73,210300.0,300318,2020-12-15
14.72,208900.0,300318,2020-12-15
14.71,290000.0,300318,2020-12-15
14.7,411200.0,300318,2020-12-15
14.69,274600.0,300318,2020-12-15
14.68,337900.0,300318,2020-12-15
14.67,447200.0,300318,2020-12-15
14.66,619200.0,300318,2020-12-15
14.65,634699.0,300318,2020-12-15
14.64,652100.0,300318,2020-12-15
14.63,338000.0,300318,2020-12-15
14.62,340200.0,300318,2020-12-15
14.61,435400.0,300318,2020-12-15
14.6,640400.0,300318,2020-12-15
14.59,1005900.0,300318,2020-12-15
14.58,1826000.0,300318,2020-12-15
14.57,1219600.0,300318,2020-12-15
14.56,565800.0,300318,2020-12-15
14.55,91800.0,300318,2020-12-15
