price,vol,stock_index,dt
16.27,3900.0,002885,2020-12-15
16.26,1000.0,002885,2020-12-15
16.25,19000.0,002885,2020-12-15
16.24,10000.0,002885,2020-12-15
16.23,5100.0,002885,2020-12-15
16.22,15900.0,002885,2020-12-15
16.21,43400.0,002885,2020-12-15
16.2,16500.0,002885,2020-12-15
16.19,10700.0,002885,2020-12-15
16.18,29225.0,002885,2020-12-15
16.17,13800.0,002885,2020-12-15
16.16,15500.0,002885,2020-12-15
16.15,41050.0,002885,2020-12-15
16.14,17650.0,002885,2020-12-15
16.13,60800.0,002885,2020-12-15
16.12,64700.0,002885,2020-12-15
16.11,37900.0,002885,2020-12-15
16.1,95800.0,002885,2020-12-15
16.09,135700.0,002885,2020-12-15
16.08,156475.0,002885,2020-12-15
16.07,112100.0,002885,2020-12-15
16.06,87600.0,002885,2020-12-15
16.05,52900.0,002885,2020-12-15
16.04,78800.0,002885,2020-12-15
16.03,23800.0,002885,2020-12-15
