price,vol,stock_index,dt
4.85,908000.0,600303,2020-12-15
4.82,197300.0,600303,2020-12-15
4.81,1300400.0,600303,2020-12-15
4.8,1051300.0,600303,2020-12-15
4.79,484998.0,600303,2020-12-15
4.78,786802.0,600303,2020-12-15
4.77,1361734.0,600303,2020-12-15
4.76,1256700.0,600303,2020-12-15
4.75,2818300.0,600303,2020-12-15
4.74,2328800.0,600303,2020-12-15
4.73,2838000.0,600303,2020-12-15
4.72,3394729.0,600303,2020-12-15
4.71,1859571.0,600303,2020-12-15
4.7,1238800.0,600303,2020-12-15
4.69,754379.0,600303,2020-12-15
4.68,1105600.0,600303,2020-12-15
4.67,1659500.0,600303,2020-12-15
4.66,631200.0,600303,2020-12-15
4.65,408006.0,600303,2020-12-15
4.64,47000.0,600303,2020-12-15
