price,vol,stock_index,dt
13.54,20300.0,300100,2020-12-15
13.53,91800.0,300100,2020-12-15
13.52,199200.0,300100,2020-12-15
13.51,236200.0,300100,2020-12-15
13.5,300200.0,300100,2020-12-15
13.49,292100.0,300100,2020-12-15
13.48,210700.0,300100,2020-12-15
13.47,131700.0,300100,2020-12-15
13.46,151100.0,300100,2020-12-15
13.45,133900.0,300100,2020-12-15
13.44,179000.0,300100,2020-12-15
13.43,58400.0,300100,2020-12-15
13.42,299900.0,300100,2020-12-15
13.41,161000.0,300100,2020-12-15
13.4,541300.0,300100,2020-12-15
13.39,251400.0,300100,2020-12-15
13.38,375000.0,300100,2020-12-15
13.37,488500.0,300100,2020-12-15
13.36,274100.0,300100,2020-12-15
13.35,611900.0,300100,2020-12-15
13.34,388700.0,300100,2020-12-15
13.33,535800.0,300100,2020-12-15
13.32,343300.0,300100,2020-12-15
13.31,418600.0,300100,2020-12-15
13.3,364700.0,300100,2020-12-15
13.29,410900.0,300100,2020-12-15
13.28,224300.0,300100,2020-12-15
13.27,532400.0,300100,2020-12-15
13.26,755200.0,300100,2020-12-15
13.25,695329.0,300100,2020-12-15
13.24,424771.0,300100,2020-12-15
13.23,430400.0,300100,2020-12-15
13.22,399800.0,300100,2020-12-15
13.21,275700.0,300100,2020-12-15
13.2,155400.0,300100,2020-12-15
13.19,277200.0,300100,2020-12-15
13.18,457200.0,300100,2020-12-15
13.17,419400.0,300100,2020-12-15
13.16,268000.0,300100,2020-12-15
13.15,319900.0,300100,2020-12-15
13.14,285212.0,300100,2020-12-15
13.13,269788.0,300100,2020-12-15
13.12,93100.0,300100,2020-12-15
13.11,91700.0,300100,2020-12-15
13.1,148200.0,300100,2020-12-15
13.09,98100.0,300100,2020-12-15
13.08,265412.0,300100,2020-12-15
13.07,46500.0,300100,2020-12-15
13.06,12700.0,300100,2020-12-15
