price,vol,stock_index,dt
38.23,48500.0,603712,2020-12-15
38.22,4900.0,603712,2020-12-15
38.2,2600.0,603712,2020-12-15
38.19,48700.0,603712,2020-12-15
38.18,36600.0,603712,2020-12-15
38.16,30700.0,603712,2020-12-15
38.15,51600.0,603712,2020-12-15
38.14,15000.0,603712,2020-12-15
38.13,4700.0,603712,2020-12-15
38.11,156871.0,603712,2020-12-15
38.1,27700.0,603712,2020-12-15
38.09,31900.0,603712,2020-12-15
38.08,25200.0,603712,2020-12-15
38.07,46988.0,603712,2020-12-15
38.06,100700.0,603712,2020-12-15
38.05,69990.0,603712,2020-12-15
38.04,7700.0,603712,2020-12-15
38.03,16812.0,603712,2020-12-15
38.02,13088.0,603712,2020-12-15
38.01,92312.0,603712,2020-12-15
38.0,116600.0,603712,2020-12-15
37.99,22600.0,603712,2020-12-15
37.98,23800.0,603712,2020-12-15
37.96,2200.0,603712,2020-12-15
37.95,27900.0,603712,2020-12-15
37.93,20600.0,603712,2020-12-15
37.92,6100.0,603712,2020-12-15
37.9,70600.0,603712,2020-12-15
37.89,36700.0,603712,2020-12-15
37.88,21900.0,603712,2020-12-15
37.87,35300.0,603712,2020-12-15
37.86,6200.0,603712,2020-12-15
37.85,59700.0,603712,2020-12-15
37.84,21400.0,603712,2020-12-15
37.83,36200.0,603712,2020-12-15
37.82,1500.0,603712,2020-12-15
37.81,21700.0,603712,2020-12-15
37.8,24700.0,603712,2020-12-15
37.79,7800.0,603712,2020-12-15
37.78,35100.0,603712,2020-12-15
37.77,14700.0,603712,2020-12-15
37.76,27500.0,603712,2020-12-15
37.75,22300.0,603712,2020-12-15
37.74,3700.0,603712,2020-12-15
37.73,10500.0,603712,2020-12-15
37.72,12100.0,603712,2020-12-15
37.71,34300.0,603712,2020-12-15
37.7,33100.0,603712,2020-12-15
37.69,18800.0,603712,2020-12-15
37.67,14200.0,603712,2020-12-15
37.66,8929.0,603712,2020-12-15
37.65,7800.0,603712,2020-12-15
37.64,29500.0,603712,2020-12-15
37.63,23700.0,603712,2020-12-15
37.62,7700.0,603712,2020-12-15
37.61,5600.0,603712,2020-12-15
37.6,36900.0,603712,2020-12-15
37.59,51900.0,603712,2020-12-15
37.58,47100.0,603712,2020-12-15
37.57,5400.0,603712,2020-12-15
37.56,36800.0,603712,2020-12-15
37.55,25800.0,603712,2020-12-15
37.54,61900.0,603712,2020-12-15
37.53,7400.0,603712,2020-12-15
37.52,3400.0,603712,2020-12-15
37.51,7100.0,603712,2020-12-15
37.5,19000.0,603712,2020-12-15
37.49,47900.0,603712,2020-12-15
37.48,27800.0,603712,2020-12-15
37.47,4200.0,603712,2020-12-15
37.46,36200.0,603712,2020-12-15
37.45,19200.0,603712,2020-12-15
37.44,37000.0,603712,2020-12-15
37.43,40700.0,603712,2020-12-15
37.42,2200.0,603712,2020-12-15
37.41,21100.0,603712,2020-12-15
37.4,75400.0,603712,2020-12-15
37.39,20400.0,603712,2020-12-15
37.38,28600.0,603712,2020-12-15
37.37,78500.0,603712,2020-12-15
37.36,26500.0,603712,2020-12-15
37.35,50600.0,603712,2020-12-15
37.34,22400.0,603712,2020-12-15
37.33,66200.0,603712,2020-12-15
37.32,80600.0,603712,2020-12-15
37.31,49000.0,603712,2020-12-15
37.3,180300.0,603712,2020-12-15
37.29,112100.0,603712,2020-12-15
37.28,45600.0,603712,2020-12-15
37.27,35100.0,603712,2020-12-15
37.26,79000.0,603712,2020-12-15
37.25,55800.0,603712,2020-12-15
37.24,54100.0,603712,2020-12-15
37.23,24700.0,603712,2020-12-15
37.22,14900.0,603712,2020-12-15
37.21,95100.0,603712,2020-12-15
37.2,60018.0,603712,2020-12-15
37.19,87000.0,603712,2020-12-15
37.18,37000.0,603712,2020-12-15
37.17,74000.0,603712,2020-12-15
37.16,33900.0,603712,2020-12-15
37.15,42300.0,603712,2020-12-15
37.14,114200.0,603712,2020-12-15
37.13,9900.0,603712,2020-12-15
37.12,19300.0,603712,2020-12-15
37.11,22300.0,603712,2020-12-15
37.1,62900.0,603712,2020-12-15
37.09,90200.0,603712,2020-12-15
37.08,42900.0,603712,2020-12-15
37.07,24800.0,603712,2020-12-15
37.06,29800.0,603712,2020-12-15
37.05,62338.0,603712,2020-12-15
37.04,59000.0,603712,2020-12-15
37.03,55100.0,603712,2020-12-15
37.02,36500.0,603712,2020-12-15
37.01,75700.0,603712,2020-12-15
37.0,148400.0,603712,2020-12-15
36.99,64400.0,603712,2020-12-15
36.98,53800.0,603712,2020-12-15
36.97,12000.0,603712,2020-12-15
36.96,68700.0,603712,2020-12-15
36.95,24300.0,603712,2020-12-15
36.94,37400.0,603712,2020-12-15
36.93,39000.0,603712,2020-12-15
36.92,27400.0,603712,2020-12-15
36.91,31400.0,603712,2020-12-15
36.9,72900.0,603712,2020-12-15
36.89,42400.0,603712,2020-12-15
36.88,21200.0,603712,2020-12-15
36.87,43000.0,603712,2020-12-15
36.86,16800.0,603712,2020-12-15
36.85,37000.0,603712,2020-12-15
36.84,10600.0,603712,2020-12-15
36.83,39500.0,603712,2020-12-15
36.82,19400.0,603712,2020-12-15
36.81,11500.0,603712,2020-12-15
36.8,61500.0,603712,2020-12-15
36.79,28600.0,603712,2020-12-15
36.78,77600.0,603712,2020-12-15
36.77,33200.0,603712,2020-12-15
36.76,24300.0,603712,2020-12-15
36.75,13400.0,603712,2020-12-15
36.74,17000.0,603712,2020-12-15
36.73,26500.0,603712,2020-12-15
36.72,34200.0,603712,2020-12-15
36.71,22800.0,603712,2020-12-15
36.7,33200.0,603712,2020-12-15
36.69,30700.0,603712,2020-12-15
36.68,37305.0,603712,2020-12-15
36.67,34592.0,603712,2020-12-15
36.66,59791.0,603712,2020-12-15
36.65,51462.0,603712,2020-12-15
36.64,28300.0,603712,2020-12-15
36.63,47800.0,603712,2020-12-15
36.62,22500.0,603712,2020-12-15
36.61,6600.0,603712,2020-12-15
36.6,45000.0,603712,2020-12-15
36.59,10300.0,603712,2020-12-15
36.58,10900.0,603712,2020-12-15
36.57,24400.0,603712,2020-12-15
36.56,19500.0,603712,2020-12-15
36.55,24735.0,603712,2020-12-15
36.54,44400.0,603712,2020-12-15
36.53,19500.0,603712,2020-12-15
36.52,12900.0,603712,2020-12-15
36.51,10600.0,603712,2020-12-15
36.5,39000.0,603712,2020-12-15
36.49,9400.0,603712,2020-12-15
36.48,19200.0,603712,2020-12-15
36.47,10400.0,603712,2020-12-15
36.46,5900.0,603712,2020-12-15
36.45,17136.0,603712,2020-12-15
36.44,14100.0,603712,2020-12-15
36.43,7400.0,603712,2020-12-15
36.42,12500.0,603712,2020-12-15
36.41,20100.0,603712,2020-12-15
36.4,26600.0,603712,2020-12-15
36.39,25300.0,603712,2020-12-15
36.38,5400.0,603712,2020-12-15
36.37,22100.0,603712,2020-12-15
36.36,7400.0,603712,2020-12-15
36.35,27500.0,603712,2020-12-15
36.34,34900.0,603712,2020-12-15
36.33,55000.0,603712,2020-12-15
36.32,39500.0,603712,2020-12-15
36.31,72500.0,603712,2020-12-15
36.3,48800.0,603712,2020-12-15
36.29,49800.0,603712,2020-12-15
36.28,43500.0,603712,2020-12-15
36.27,30312.0,603712,2020-12-15
36.26,39600.0,603712,2020-12-15
36.25,32100.0,603712,2020-12-15
36.24,56100.0,603712,2020-12-15
36.23,23700.0,603712,2020-12-15
36.22,42600.0,603712,2020-12-15
36.21,10600.0,603712,2020-12-15
36.2,39700.0,603712,2020-12-15
36.19,15700.0,603712,2020-12-15
36.18,26900.0,603712,2020-12-15
36.17,25300.0,603712,2020-12-15
36.16,45700.0,603712,2020-12-15
36.15,55800.0,603712,2020-12-15
36.14,50600.0,603712,2020-12-15
36.13,11200.0,603712,2020-12-15
36.12,37900.0,603712,2020-12-15
36.11,20000.0,603712,2020-12-15
36.1,52900.0,603712,2020-12-15
36.09,15800.0,603712,2020-12-15
36.08,14400.0,603712,2020-12-15
36.07,20100.0,603712,2020-12-15
36.06,58700.0,603712,2020-12-15
36.05,13200.0,603712,2020-12-15
36.04,28200.0,603712,2020-12-15
36.03,13600.0,603712,2020-12-15
36.02,4500.0,603712,2020-12-15
36.01,11600.0,603712,2020-12-15
36.0,18100.0,603712,2020-12-15
35.99,5900.0,603712,2020-12-15
35.98,2000.0,603712,2020-12-15
35.97,2700.0,603712,2020-12-15
35.96,9600.0,603712,2020-12-15
35.95,9400.0,603712,2020-12-15
35.94,21900.0,603712,2020-12-15
35.93,6000.0,603712,2020-12-15
35.92,1700.0,603712,2020-12-15
35.91,15500.0,603712,2020-12-15
