price,vol,stock_index,dt
8.78,102700.0,002408,2020-12-15
8.76,52400.0,002408,2020-12-15
8.75,81600.0,002408,2020-12-15
8.74,194500.0,002408,2020-12-15
8.73,49900.0,002408,2020-12-15
8.72,36100.0,002408,2020-12-15
8.71,90200.0,002408,2020-12-15
8.7,94400.0,002408,2020-12-15
8.69,175900.0,002408,2020-12-15
8.68,400600.0,002408,2020-12-15
8.67,265300.0,002408,2020-12-15
8.66,263601.0,002408,2020-12-15
8.65,339100.0,002408,2020-12-15
8.64,402900.0,002408,2020-12-15
8.63,512200.0,002408,2020-12-15
8.62,850522.0,002408,2020-12-15
8.61,1250573.0,002408,2020-12-15
8.6,1355600.0,002408,2020-12-15
8.59,368000.0,002408,2020-12-15
8.58,121200.0,002408,2020-12-15
8.57,103300.0,002408,2020-12-15
8.56,108200.0,002408,2020-12-15
8.55,148700.0,002408,2020-12-15
8.54,104200.0,002408,2020-12-15
8.53,274400.0,002408,2020-12-15
8.52,343400.0,002408,2020-12-15
8.51,725100.0,002408,2020-12-15
8.5,831000.0,002408,2020-12-15
8.49,292533.0,002408,2020-12-15
8.48,386800.0,002408,2020-12-15
8.47,288800.0,002408,2020-12-15
8.46,32100.0,002408,2020-12-15
