price,vol,stock_index,dt
22.14,20200.0,002382,2020-12-15
22.13,224400.0,002382,2020-12-15
22.12,165592.0,002382,2020-12-15
22.11,206708.0,002382,2020-12-15
22.1,368956.0,002382,2020-12-15
22.09,251038.0,002382,2020-12-15
22.08,288062.0,002382,2020-12-15
22.07,548890.0,002382,2020-12-15
22.06,296964.0,002382,2020-12-15
22.05,541511.0,002382,2020-12-15
22.04,480760.0,002382,2020-12-15
22.03,386745.0,002382,2020-12-15
22.02,789882.0,002382,2020-12-15
22.01,503904.0,002382,2020-12-15
22.0,795085.0,002382,2020-12-15
21.99,788682.0,002382,2020-12-15
21.98,339288.0,002382,2020-12-15
21.97,409872.0,002382,2020-12-15
21.96,467248.0,002382,2020-12-15
21.95,284545.0,002382,2020-12-15
21.94,254655.0,002382,2020-12-15
21.93,330345.0,002382,2020-12-15
21.92,318000.0,002382,2020-12-15
21.91,498126.0,002382,2020-12-15
21.9,791670.0,002382,2020-12-15
21.89,433700.0,002382,2020-12-15
21.88,336910.0,002382,2020-12-15
21.87,179300.0,002382,2020-12-15
21.86,246800.0,002382,2020-12-15
21.85,440950.0,002382,2020-12-15
21.84,447690.0,002382,2020-12-15
21.83,275858.0,002382,2020-12-15
21.82,257200.0,002382,2020-12-15
21.81,306200.0,002382,2020-12-15
21.8,866367.0,002382,2020-12-15
21.79,670611.0,002382,2020-12-15
21.78,523294.0,002382,2020-12-15
21.77,486516.0,002382,2020-12-15
21.76,837134.0,002382,2020-12-15
21.75,980536.0,002382,2020-12-15
21.74,980408.0,002382,2020-12-15
21.73,1014708.0,002382,2020-12-15
21.72,1067100.0,002382,2020-12-15
21.71,673774.0,002382,2020-12-15
21.7,1378390.0,002382,2020-12-15
21.69,1186694.0,002382,2020-12-15
21.68,230900.0,002382,2020-12-15
21.67,50000.0,002382,2020-12-15
21.66,210100.0,002382,2020-12-15
21.65,12600.0,002382,2020-12-15
21.64,14400.0,002382,2020-12-15
21.63,32900.0,002382,2020-12-15
21.62,15100.0,002382,2020-12-15
21.61,54500.0,002382,2020-12-15
21.6,22200.0,002382,2020-12-15
21.58,46500.0,002382,2020-12-15
21.57,59900.0,002382,2020-12-15
21.55,12800.0,002382,2020-12-15
21.54,62800.0,002382,2020-12-15
21.53,72500.0,002382,2020-12-15
21.49,34000.0,002382,2020-12-15
21.46,120438.0,002382,2020-12-15
