price,vol,stock_index,dt
9.52,97800.0,002064,2020-12-15
9.51,410637.0,002064,2020-12-15
9.5,13300.0,002064,2020-12-15
9.49,562700.0,002064,2020-12-15
9.48,358608.0,002064,2020-12-15
9.47,711900.0,002064,2020-12-15
9.46,879446.0,002064,2020-12-15
9.45,936500.0,002064,2020-12-15
9.44,896500.0,002064,2020-12-15
9.43,991580.0,002064,2020-12-15
9.42,1064800.0,002064,2020-12-15
9.41,1161784.0,002064,2020-12-15
9.4,1302415.0,002064,2020-12-15
9.39,1055700.0,002064,2020-12-15
9.38,1182754.0,002064,2020-12-15
9.37,1642700.0,002064,2020-12-15
9.36,1380550.0,002064,2020-12-15
9.35,1627246.0,002064,2020-12-15
9.34,1197490.0,002064,2020-12-15
9.33,806439.0,002064,2020-12-15
9.32,1194200.0,002064,2020-12-15
9.31,1501055.0,002064,2020-12-15
9.3,2264190.0,002064,2020-12-15
9.29,1824100.0,002064,2020-12-15
9.28,1139500.0,002064,2020-12-15
9.27,1396200.0,002064,2020-12-15
9.26,1109282.0,002064,2020-12-15
9.25,2232928.0,002064,2020-12-15
9.24,1709694.0,002064,2020-12-15
9.23,1103675.0,002064,2020-12-15
9.22,1441847.0,002064,2020-12-15
9.21,1467895.0,002064,2020-12-15
9.2,1463549.0,002064,2020-12-15
9.19,1058587.0,002064,2020-12-15
9.18,1161398.0,002064,2020-12-15
9.17,1113407.0,002064,2020-12-15
9.16,1379899.0,002064,2020-12-15
9.15,1557774.0,002064,2020-12-15
9.14,1553860.0,002064,2020-12-15
9.13,944434.0,002064,2020-12-15
9.12,899810.0,002064,2020-12-15
9.11,786592.0,002064,2020-12-15
9.1,539968.0,002064,2020-12-15
9.09,87751.0,002064,2020-12-15
9.08,104242.0,002064,2020-12-15
9.07,76392.0,002064,2020-12-15
9.06,183182.0,002064,2020-12-15
9.05,248926.0,002064,2020-12-15
9.01,6262.0,002064,2020-12-15
9.0,183200.0,002064,2020-12-15
8.99,61078.0,002064,2020-12-15
8.96,111593.0,002064,2020-12-15
