price,vol,stock_index,dt
6.52,380000.0,000702,2020-12-15
6.51,203800.0,000702,2020-12-15
6.5,201500.0,000702,2020-12-15
6.49,843800.0,000702,2020-12-15
6.48,368500.0,000702,2020-12-15
6.47,65800.0,000702,2020-12-15
6.46,276388.0,000702,2020-12-15
6.45,268100.0,000702,2020-12-15
6.44,236700.0,000702,2020-12-15
6.43,303700.0,000702,2020-12-15
6.42,296700.0,000702,2020-12-15
6.41,215873.0,000702,2020-12-15
6.4,1372991.0,000702,2020-12-15
6.39,1255600.0,000702,2020-12-15
6.38,700000.0,000702,2020-12-15
6.37,514700.0,000702,2020-12-15
6.36,342700.0,000702,2020-12-15
6.35,1467960.0,000702,2020-12-15
6.34,894352.0,000702,2020-12-15
6.33,592776.0,000702,2020-12-15
6.32,568800.0,000702,2020-12-15
6.31,307200.0,000702,2020-12-15
6.3,1070088.0,000702,2020-12-15
6.29,867900.0,000702,2020-12-15
6.28,286500.0,000702,2020-12-15
6.27,239800.0,000702,2020-12-15
6.26,1039400.0,000702,2020-12-15
6.25,891000.0,000702,2020-12-15
6.24,1320700.0,000702,2020-12-15
6.23,11900.0,000702,2020-12-15
6.22,14600.0,000702,2020-12-15
