stock_index,dadan_cnt,dt_cnt,last_date,avg_daily_dadan_cnt
s603330,1,1,2021-01-05,1.0
s603332,8,4,2021-02-19,2.0
s603336,6,4,2021-01-26,2.0
s603337,2,1,2021-01-29,2.0
s603338,38,23,2021-02-18,2.0
s603339,1,1,2020-12-17,1.0
s603345,92,24,2021-02-23,4.0
s603348,1,1,2021-01-13,1.0
s603358,3,3,2021-01-15,1.0
s603359,1,1,2021-02-18,1.0
s603363,15,9,2021-02-23,2.0
s603366,23,5,2021-02-04,5.0
s603369,203,40,2021-02-22,5.0
s603377,27,6,2021-01-22,4.0
s603378,2,1,2021-01-27,2.0
s603386,3,1,2020-12-24,3.0
s603387,6,5,2021-01-27,1.0
s603392,88,31,2021-02-23,3.0
s603393,1,1,2021-01-20,1.0
s603396,6,4,2021-01-25,2.0
s603399,3,2,2021-02-22,2.0
s603416,3,2,2021-02-01,2.0
s603429,6,1,2020-12-24,6.0
s603444,98,31,2021-02-23,3.0
s603456,47,19,2021-02-22,2.0
s603486,44,27,2021-02-22,2.0
s603489,4,3,2021-01-26,1.0
s603500,9,5,2021-01-25,2.0
s603501,2131,44,2021-02-23,48.0
s603505,5,3,2020-12-25,2.0
s603506,3,1,2021-01-19,3.0
s603515,1,1,2021-01-14,1.0
s603517,89,28,2021-02-23,3.0
s603519,1,1,2021-01-21,1.0
s603520,36,16,2021-02-23,2.0
s603527,1,1,2021-02-22,1.0
s603530,4,2,2020-12-28,2.0
s603533,62,32,2021-02-23,2.0
s603535,2,2,2021-01-19,1.0
s603536,3,3,2021-02-08,1.0
s603538,5,4,2021-01-11,1.0
s603551,2,2,2021-01-06,1.0
s603557,2,2,2020-12-30,1.0
s603558,1,1,2021-01-05,1.0
s603565,24,11,2021-01-29,2.0
s603579,4,1,2020-12-28,4.0
s603580,4,1,2021-01-21,4.0
s603583,2,2,2021-02-05,1.0
s603587,2,2,2021-02-19,1.0
s603588,5,1,2021-02-22,5.0
s603589,190,40,2021-02-22,5.0
s603596,6,5,2021-02-08,1.0
s603598,4,2,2021-01-15,2.0
s603599,46,23,2021-02-19,2.0
s603601,4,4,2021-01-25,1.0
s603602,3,1,2020-12-29,3.0
s603605,48,24,2021-02-19,2.0
s603606,40,30,2021-02-18,1.0
s603607,11,3,2021-01-18,4.0
s603609,2,2,2021-02-18,1.0
s603612,6,6,2021-02-23,1.0
s603613,69,20,2021-02-10,3.0
s603618,9,4,2021-01-27,2.0
s603619,3,2,2021-02-23,2.0
s603626,3,1,2021-02-01,3.0
s603629,1,1,2020-12-23,1.0
s603636,1,1,2021-01-27,1.0
s603638,8,5,2021-02-18,2.0
s603650,4,2,2021-02-18,2.0
s603655,5,3,2021-01-15,2.0
s603658,91,29,2021-02-08,3.0
s603659,112,39,2021-02-22,3.0
s603665,4,3,2021-01-05,1.0
s603666,9,6,2021-02-02,2.0
s603678,119,37,2021-02-18,3.0
s603686,6,5,2021-02-22,1.0
s603688,5,5,2021-02-01,1.0
s603690,29,16,2021-02-09,2.0
s603697,5,4,2021-02-09,1.0
s603698,53,14,2021-02-23,4.0
s603701,3,1,2021-01-22,3.0
s603703,1,1,2021-01-12,1.0
s603707,18,8,2021-02-23,2.0
s603708,9,7,2021-02-03,1.0
s603709,2,2,2021-01-21,1.0
s603712,30,14,2021-02-23,2.0
s603713,4,4,2021-01-26,1.0
s603717,9,4,2021-02-01,2.0
s603718,27,11,2021-02-03,2.0
s603719,4,4,2021-02-10,1.0
s603726,1,1,2021-01-28,1.0
s603728,2,1,2021-01-04,2.0
s603730,1,1,2021-02-05,1.0
s603733,15,12,2021-02-03,1.0
s603737,18,8,2021-02-09,2.0
s603758,4,3,2021-02-09,1.0
s603787,1,1,2021-01-07,1.0
s603798,3,1,2021-01-21,3.0
s603799,4484,44,2021-02-23,102.0
s603801,10,4,2021-02-08,2.0
s603803,1,1,2020-12-24,1.0
s603806,66,31,2021-02-23,2.0
s603809,2,2,2021-01-19,1.0
s603810,7,2,2021-02-01,4.0
s603816,49,18,2021-02-23,3.0
s603818,4,2,2021-01-28,2.0
s603823,2,1,2020-12-25,2.0
s603825,8,6,2021-02-22,1.0
s603826,2,2,2021-01-06,1.0
s603833,26,15,2021-02-22,2.0
s603843,6,3,2021-02-03,2.0
s603856,1,1,2021-01-27,1.0
s603858,4,4,2021-02-10,1.0
s603863,7,2,2021-01-20,4.0
s603866,8,7,2021-01-22,1.0
s603867,3,2,2021-01-29,2.0
s603869,2,2,2021-02-03,1.0
s603876,1,1,2020-12-31,1.0
s603877,6,1,2021-01-14,6.0
s603881,14,9,2021-02-04,2.0
s603882,321,38,2021-02-23,8.0
s603883,7,5,2021-02-05,1.0
s603885,10,4,2021-02-23,2.0
s603888,1,1,2021-02-22,1.0
s603890,2,2,2021-02-01,1.0
s603893,2,2,2021-02-23,1.0
s603896,3,3,2021-02-22,1.0
s603899,24,20,2021-02-23,1.0
s603901,1,1,2021-02-05,1.0
s603906,24,10,2021-01-29,2.0
s603909,1,1,2020-12-23,1.0
s603915,9,6,2021-01-29,2.0
s603916,5,3,2021-02-22,2.0
s603919,147,26,2021-02-09,6.0
s603920,1,1,2021-01-19,1.0
