stock_index,stock_date,K,D,macd_5
601857,2021-01-27,35.97,49.775,-0.026000000000000002
600004,2021-01-27,36.341,28.383000000000003,0.151
723,2021-01-27,36.7,28.362,0.20199999999999999
2311,2021-01-27,36.905,50.26,0.247
2049,2021-01-27,36.928000000000004,53.198,-1.4780000000000002
600050,2021-01-27,37.26,41.005,-0.027999999999999997
600115,2021-01-27,37.415,37.465,-0.002
600522,2021-01-27,37.522,54.406000000000006,-0.121
601698,2021-01-27,37.568000000000005,45.25,-0.35100000000000003
2812,2021-01-27,37.611999999999995,47.604,-0.7809999999999999
2673,2021-01-27,38.001,49.211000000000006,-0.24600000000000002
2508,2021-01-27,38.315,51.812,-0.45899999999999996
600233,2021-01-27,38.505,39.991,-0.025
2475,2021-01-27,38.695,56.808,-1.105
600498,2021-01-27,38.716,56.21,-0.68
66,2021-01-27,39.594,59.183,-0.39299999999999996
600276,2021-01-27,39.742,53.528,-0.9890000000000001
601390,2021-01-27,39.769,45.46,-0.052000000000000005
600061,2021-01-27,39.802,50.126999999999995,-0.151
601816,2021-01-27,40.239000000000004,37.198,-0.013999999999999999
601985,2021-01-27,40.388000000000005,50.426,-0.036000000000000004
600028,2021-01-27,40.518,52.195,-0.033
603019,2021-01-27,40.692,57.46,-0.691
300136,2021-01-27,40.796,45.733999999999995,-0.49
601328,2021-01-27,40.806999999999995,47.076,-0.012
603160,2021-01-27,40.911,53.695,-1.801
601628,2021-01-27,41.138000000000005,50.818000000000005,-0.49700000000000005
600845,2021-01-27,41.184,40.503,0.591
600637,2021-01-27,41.192,49.888999999999996,-0.044000000000000004
300033,2021-01-27,41.39,45.776,-1.005
600025,2021-01-27,41.652,32.506,0.023
858,2021-01-27,42.507,50.248000000000005,-0.213
600208,2021-01-27,42.963,43.727,-0.01
69,2021-01-27,43.066,43.661,-0.026000000000000002
895,2021-01-27,43.431999999999995,53.604,-0.544
600900,2021-01-27,43.754,38.461,0.016
600030,2021-01-27,43.832,55.736999999999995,-0.514
600362,2021-01-27,43.856,52.325,-0.38
603288,2021-01-27,44.03,58.516000000000005,-1.7530000000000001
600177,2021-01-27,44.248000000000005,60.968999999999994,-0.063
600085,2021-01-27,44.677,48.531000000000006,-0.205
601377,2021-01-27,45.33,55.093,-0.10400000000000001
600809,2021-01-27,45.806000000000004,60.699,-6.051
425,2021-01-27,46.133,55.143,-0.057
601688,2021-01-27,46.196999999999996,54.95399999999999,-0.297
600741,2021-01-27,46.4,49.803000000000004,-0.127
601998,2021-01-27,46.919,42.438,0.02
601618,2021-01-27,46.949,56.498999999999995,-0.054000000000000006
2422,2021-01-27,47.251999999999995,35.512,0.068
2714,2021-01-27,47.468999999999994,52.553999999999995,1.554
601916,2021-01-27,47.489,46.052,-0.013000000000000001
600760,2021-01-27,47.501999999999995,62.677,-1.965
601601,2021-01-27,47.556000000000004,62.269,-0.644
601398,2021-01-27,47.87,51.016000000000005,-0.016
600919,2021-01-27,48.95,38.659,0.015
688012,2021-01-27,49.287,52.458,-0.091
601607,2021-01-27,49.287,52.458,-0.091
603986,2021-01-27,49.472,63.718999999999994,-6.902
300601,2021-01-27,49.49100000000001,43.53,1.821
600000,2021-01-27,49.86,56.702,-0.063
963,2021-01-27,50.293,46.909,-0.17300000000000001
603993,2021-01-27,50.556000000000004,63.102,-0.057999999999999996
600655,2021-01-27,50.626999999999995,59.332,-0.452
601577,2021-01-27,50.67100000000001,39.914,0.095
603195,2021-01-27,51.236999999999995,62.678999999999995,-2.7910000000000004
600872,2021-01-27,52.24100000000001,54.628,0.599
2607,2021-01-27,52.338,34.942,1.143
333,2021-01-27,52.343,64.788,-0.722
601088,2021-01-27,52.692,56.93600000000001,-0.177
600482,2021-01-27,52.784,66.02600000000001,-0.248
661,2021-01-27,53.043,61.886,-0.46799999999999997
2252,2021-01-27,53.07899999999999,39.99,0.09
600887,2021-01-27,53.121,65.142,-0.381
601009,2021-01-27,53.153,55.775,-0.047
776,2021-01-27,53.482,59.20399999999999,-0.191
2558,2021-01-27,53.59,57.506,-0.059000000000000004
601021,2021-01-27,53.928000000000004,46.286,1.75
601633,2021-01-27,54.21,66.991,-0.38
656,2021-01-27,54.302,55.066,-0.064
2241,2021-01-27,54.81,63.099,-0.968
601838,2021-01-27,55.177,39.312,0.094
601138,2021-01-27,55.542,60.028999999999996,-0.139
601100,2021-01-27,55.711999999999996,66.357,-1.014
600926,2021-01-27,56.688,60.107,-0.124
2,2021-01-27,57.059,61.202,-0.242
300142,2021-01-27,57.117,42.333999999999996,1.199
977,2021-01-27,57.428999999999995,65.193,-0.7559999999999999
688036,2021-01-27,57.754,56.59,-0.177
601919,2021-01-27,58.242,70.743,-0.33899999999999997
601229,2021-01-27,58.481,55.663000000000004,-0.051
601888,2021-01-27,58.791000000000004,66.032,1.577
2916,2021-01-27,59.248999999999995,66.834,-3.299
600031,2021-01-27,59.428000000000004,67.953,-0.242
688008,2021-01-27,59.766999999999996,53.565,0.05
63,2021-01-27,60.121,67.181,-0.44299999999999995
2841,2021-01-27,60.318000000000005,50.522,5.287000000000001
601766,2021-01-27,60.713,60.073,-0.105
600118,2021-01-27,61.985,65.185,-0.514
603658,2021-01-27,62.475,59.755,-0.7090000000000001
2414,2021-01-27,62.782,73.305,-0.914
300124,2021-01-27,62.798,61.653,0.41
601939,2021-01-27,62.851000000000006,58.223,-0.008
300433,2021-01-27,62.891000000000005,69.26100000000001,-1.14
300003,2021-01-27,62.9,59.157,-0.138
600893,2021-01-27,63.792,74.702,-2.4419999999999997
601360,2021-01-27,64.202,58.097,0.045
603087,2021-01-27,64.369,70.61399999999999,-2.907
2202,2021-01-27,64.993,67.426,0.09699999999999999
601877,2021-01-27,65.008,61.467,0.303
601818,2021-01-27,65.138,58.415,-0.006
600999,2021-01-27,65.165,64.347,-0.287
2739,2021-01-27,65.428,63.722,0.073
2032,2021-01-27,65.48100000000001,70.343,-0.505
600703,2021-01-27,65.717,70.757,-0.9890000000000001
2821,2021-01-27,65.862,68.458,-0.307
300122,2021-01-27,66.29899999999999,57.077,4.349
568,2021-01-27,66.821,69.26100000000001,1.875
300347,2021-01-27,67.252,72.124,-0.955
157,2021-01-27,67.347,67.57600000000001,-0.022000000000000002
2555,2021-01-27,67.498,68.488,0.474
600352,2021-01-27,67.513,64.877,-0.113
601899,2021-01-27,67.64,71.687,-0.136
600584,2021-01-27,67.831,71.029,-0.633
600299,2021-01-27,68.293,48.391000000000005,0.14400000000000002
538,2021-01-27,68.544,73.104,-1.541
2153,2021-01-27,68.9,46.35,0.7979999999999999
2142,2021-01-27,69.03699999999999,69.24600000000001,-0.062
2129,2021-01-27,69.059,69.589,0.125
600438,2021-01-27,69.402,62.782,1.8840000000000001
703,2021-01-27,69.642,71.918,-0.183
600436,2021-01-27,69.689,74.94,-2.024
600745,2021-01-27,69.957,71.383,-2.6069999999999998
2007,2021-01-27,70.263,70.868,-0.8079999999999999
938,2021-01-27,70.33,72.081,-0.531
725,2021-01-27,71.657,75.281,-0.055999999999999994
300676,2021-01-27,72.195,68.13600000000001,-0.836
300015,2021-01-27,72.381,63.593,1.3780000000000001
600998,2021-01-27,72.444,71.87899999999999,-0.054000000000000006
601808,2021-01-27,72.626,71.876,-0.248
2120,2021-01-27,73.235,54.629,0.491
2008,2021-01-27,73.367,79.05199999999999,-0.779
600519,2021-01-27,75.253,80.193,-5.795
600588,2021-01-27,75.303,65.753,0.7979999999999999
2027,2021-01-27,76.11399999999999,74.69800000000001,-0.149
600019,2021-01-27,76.196,64.81,0.07200000000000001
2044,2021-01-27,76.459,69.655,0.18600000000000003
688009,2021-01-27,76.798,83.05799999999999,-1.345
2410,2021-01-27,76.798,83.05799999999999,-1.345
2230,2021-01-27,77.172,76.541,-0.054000000000000006
601658,2021-01-27,77.182,65.205,0.026000000000000002
603899,2021-01-27,77.262,79.266,-0.502
2371,2021-01-27,77.41199999999999,80.237,-3.909
2460,2021-01-27,77.482,79.514,-0.491
2271,2021-01-27,77.688,78.755,-0.535
601166,2021-01-27,77.946,72.509,-0.061
601012,2021-01-27,78.209,76.852,1.463
603799,2021-01-27,78.439,73.944,3.0269999999999997
300014,2021-01-27,78.638,78.61,1.645
600690,2021-01-27,78.652,79.597,-0.402
300628,2021-01-27,78.953,74.788,-0.353
2352,2021-01-27,79.035,74.35300000000001,0.685
100,2021-01-27,79.459,77.638,-0.126
603833,2021-01-27,79.557,69.018,3.458
2001,2021-01-27,79.734,79.875,-0.49200000000000005
300059,2021-01-27,80.185,80.748,-0.6990000000000001
300413,2021-01-27,80.304,80.859,-1.159
600763,2021-01-27,80.414,80.702,0.75
601225,2021-01-27,81.038,71.815,0.013999999999999999
300408,2021-01-27,81.062,78.63600000000001,-0.14400000000000002
600660,2021-01-27,81.744,82.229,0.415
300529,2021-01-27,81.765,78.663,0.45899999999999996
600036,2021-01-27,81.862,75.262,-0.262
2594,2021-01-27,82.19,77.171,3.7060000000000004
338,2021-01-27,82.667,76.143,0.066
600111,2021-01-27,82.67,78.918,0.35200000000000004
603259,2021-01-27,83.346,83.955,2.039
2236,2021-01-27,83.725,76.99600000000001,0.275
786,2021-01-27,83.745,79.555,-0.585
600309,2021-01-27,85.214,82.743,-0.16
600989,2021-01-27,85.77,75.454,0.392
1,2021-01-27,85.84700000000001,79.672,0.081
600406,2021-01-27,86.006,82.182,0.247
600176,2021-01-27,86.66,85.559,0.006
603501,2021-01-27,86.786,84.198,-4.664
601155,2021-01-27,86.92,74.689,1.376
2493,2021-01-27,87.182,87.95100000000001,0.262
2601,2021-01-27,87.649,81.107,-0.09
2415,2021-01-27,88.26100000000001,85.615,0.8109999999999999
708,2021-01-27,88.524,84.729,0.031
600346,2021-01-27,88.64200000000001,87.686,0.075
603392,2021-01-27,89.15799999999999,84.569,2.9539999999999997
