stock_index,stock_date,K,D,macd_5,macd_21
603087,2021-01-27,64.369,70.61399999999999,-2.907,6.236000000000001
2202,2021-01-27,64.993,67.426,0.09699999999999999,0.368
601877,2021-01-27,65.008,61.467,0.303,0.447
601818,2021-01-27,65.138,58.415,-0.006,0.013000000000000001
600999,2021-01-27,65.165,64.347,-0.287,0.5920000000000001
2739,2021-01-27,65.428,63.722,0.073,0.228
2032,2021-01-27,65.48100000000001,70.343,-0.505,1.49
600703,2021-01-27,65.717,70.757,-0.9890000000000001,0.7879999999999999
2821,2021-01-27,65.862,68.458,-0.307,4.779
300122,2021-01-27,66.29899999999999,57.077,4.349,3.176
568,2021-01-27,66.821,69.26100000000001,1.875,1.7790000000000001
300347,2021-01-27,67.252,72.124,-0.955,3.012
157,2021-01-27,67.347,67.57600000000001,-0.022000000000000002,0.302
2555,2021-01-27,67.498,68.488,0.474,1.324
600352,2021-01-27,67.513,64.877,-0.113,0.159
601899,2021-01-27,67.64,71.687,-0.136,0.098
600584,2021-01-27,67.831,71.029,-0.633,0.653
600299,2021-01-27,68.293,48.391000000000005,0.14400000000000002,0.267
538,2021-01-27,68.544,73.104,-1.541,3.799
2153,2021-01-27,68.9,46.35,0.7979999999999999,0.508
2142,2021-01-27,69.03699999999999,69.24600000000001,-0.062,0.397
2129,2021-01-27,69.059,69.589,0.125,0.91
600438,2021-01-27,69.402,62.782,1.8840000000000001,1.272
703,2021-01-27,69.642,71.918,-0.183,0.242
600436,2021-01-27,69.689,74.94,-2.024,6.695
600745,2021-01-27,69.957,71.383,-2.6069999999999998,5.2410000000000005
2007,2021-01-27,70.263,70.868,-0.8079999999999999,1.5919999999999999
938,2021-01-27,70.33,72.081,-0.531,0.927
725,2021-01-27,71.657,75.281,-0.055999999999999994,0.231
300676,2021-01-27,72.195,68.13600000000001,-0.836,7.476
300015,2021-01-27,72.381,63.593,1.3780000000000001,0.902
600998,2021-01-27,72.444,71.87899999999999,-0.054000000000000006,0.247
