日期,开盘价,盘高,盘低,收盘价
1,1.0,1.0,0.99,1.0
2,0.99,1.0,0.97,0.98
3,0.98,1.0,0.97,0.99
4,0.94,1.0,0.93,0.98
5,0.98,1.0,0.95,0.96
6,0.95,1.0,0.87,0.89
7,0.91,1.0,0.9,0.99
8,0.98,1.0,0.96,0.98
9,0.98,1.0,0.91,0.93
10,1.0,1.0,0.98,0.99
11,0.96,1.0,0.95,0.99
12,0.99,1.0,0.98,1.0
13,0.87,1.0,0.85,0.98
