日期,开盘价,盘高,盘低,收盘价
1,0.97,1.0,0.97,0.99
2,0.98,1.0,0.96,0.97
3,0.99,1.0,0.98,0.99
4,0.96,1.0,0.95,0.99
5,0.97,1.0,0.89,0.91
6,0.91,1.0,0.9,1.0
7,0.99,1.0,0.97,0.98
8,0.99,1.0,0.98,1.0
9,0.98,1.0,0.93,0.94
10,1.0,1.0,1.0,1.0
11,1.0,1.0,0.98,0.99
12,0.97,1.0,0.96,0.97
13,0.94,1.0,0.93,0.98
14,0.99,1.0,0.95,0.97
15,0.88,1.0,0.86,0.97
