日期,开盘价,盘高,盘低,收盘价
1,1.0,1.0,0.98,0.99
2,0.97,1.0,0.96,0.99
3,0.99,1.0,0.98,0.99
4,0.99,1.0,0.94,0.95
5,0.99,1.0,0.98,1.0
6,0.91,1.0,0.9,1.0
7,0.99,1.0,0.97,0.98
8,0.95,1.0,0.87,0.89
9,0.88,1.0,0.86,0.98
10,0.98,1.0,0.91,0.93
11,0.96,1.0,0.96,0.96
12,0.94,1.0,0.93,0.99
13,1.0,1.0,1.0,1.0
14,0.99,1.0,0.96,0.97
15,0.97,1.0,0.95,0.96
16,0.96,1.0,0.95,0.98
17,0.93,1.0,0.92,0.96
