日期,开盘价,盘高,盘低,收盘价
1,0.99,1.0,0.94,0.95
2,0.97,1.0,0.97,0.99
3,0.99,1.0,0.98,0.99
4,0.94,1.0,0.93,0.98
5,1.0,1.0,0.96,0.97
6,0.98,1.0,0.91,0.93
7,0.88,1.0,0.86,0.97
8,0.99,1.0,0.99,1.0
9,1.0,1.0,0.98,0.99
10,0.96,1.0,0.95,0.97
11,0.97,1.0,0.96,0.97
12,0.99,1.0,0.97,0.98
13,1.0,1.0,1.0,1.0
14,0.95,1.0,0.87,0.89
15,0.91,1.0,0.9,0.99
16,0.98,1.0,0.98,0.99
17,0.98,1.0,0.96,0.97
18,0.96,1.0,0.95,0.99
