63,普信投资公司,"T. Rowe Price Associates, Inc. ",美国,汇丰银行,2008/9/12
64,瑞士信贷银行股份有限公司,Credit Suisse AG,瑞士,工商银行,2008/10/14
65,大华资产管理有限公司,UOB Asset Management Ltd,新加坡,工商银行,2008/11/28
66,阿布达比投资局,ABU Dhabi Investment Authority,阿联酋,汇丰银行,2008/12/3
67,安联环球投资有限公司,Allianz Global Investors GmbH,德国,工商银行,2008/12/16
68,资本国际公司,"Capital International, Inc.",美国,汇丰银行,2008/12/18
69,三菱日联摩根士丹利证券股份有限公司,"Mitsubishi UFJ Morgan Stanley Securities Co., Ltd.",日本,中国银行,2008/12/29
70,韩华资产运用株式会社,"Hanwha Investment Trust Management Co., Ltd.",韩国,花旗银行,2009/2/5
71,安石股票投资管理（美国）有限公司,Ashmore Equities Investment Management(US) LLC,美国,汇丰银行,2009/2/10
72,韩国产业银行,The Korea Development Bank,韩国,建设银行,2009/4/23
73,韩国友利银行股份有限公司,"Woori Bank Co., Ltd",韩国,工商银行,2009/5/4
74,马来西亚国家银行,Bank Negara Malaysia ,马来西亚,汇丰银行,2009/5/19
75,罗祖儒投资管理(香港)有限公司,Lloyd George Management (Hong Kong) Limited,香港,汇丰银行,2009/5/27
76,邓普顿投资顾问有限公司,"Templeton Investment Counsel, LLC",美国,汇丰银行,2009/6/5
77,东亚联丰投资管理有限公司,BEA Union Investment Management Limited,香港,工商银行,2009/6/18
78,三井住友信托银行股份有限公司,"The Sumitomo Trust & Banking Co., Ltd.
",日本,花旗银行,2009/6/26
79,韩国投资信托运用株式会社,"Korea Investment Trust Management Co., Ltd",韩国,工商银行,2009/7/21
80,霸菱资产管理有限公司,Baring Asset Management Limited,英国,汇丰银行,2009/8/6
81,安石投资管理有限公司,Ashmore Investment Management Limited,英国,工商银行,2009/9/14
82,纽约梅隆资产管理国际有限公司,BNY Mellon Asset Management International Limited,英国,建设银行,2009/11/6
83,宏利资产管理(香港)有限公司,Manulife Asset Management (Hong Kong) Limited,香港,花旗银行,2009/11/20
84,野村资产管理株式会社,"Nomura Asset Management CO., LTD",日本,工商银行,2009/11/23
85,东洋资产运用（株）,Tongyang Asset Management Corp.,韩国,花旗银行,2009/12/11
86,加拿大皇家银行,Royal Bank of Canada,加拿大,工商银行,2009/12/23
87,英杰华投资集团全球服务有限公司,Aviva Investors Global Services Limited,英国,工商银行,2009/12/28
88,常青藤资产管理公司,Ivy Investment Management Company,美国,汇丰银行,2010/2/8
89,顶峰资产管理有限公司,"Asset Management One Co., Ltd.",日本,汇丰银行,2010/4/20
90,法国欧菲资产管理公司,OFI Asset Management,法国,渣打银行,2010/5/21
91,安本亚洲资产管理公司,Aberdeen Asset Management Asia Limited,新加坡,花旗银行,2010/7/6
92,KB资产运用,"KB Asset Management Co., Ltd.",韩国,花旗银行,2010/8/9
93,富达基金(香港)有限公司,Fidelity Investments Management (Hong Kong) Limited,香港,汇丰银行,2010/9/1
94,美盛投资（欧洲）有限公司,Legg Mason Investements (Europe) Limited,英国,花旗银行,2010/10/8
95,香港金融管理局,Hong Kong Monetary Authority,香港,花旗银行,2010/10/27
96,富邦证券投资信托股份有限公司,"Fubon Asset Management Co., Ltd.",台湾,建设银行,2010/10/29
97,群益证券投资信托股份有限公司,Capital Securities Investment Trust Corporation,台湾,汇丰银行,2010/10/29
98,蒙特利尔银行投资公司,BMO Investments Inc.,加拿大,工商银行,2010/12/6
99,瑞士宝盛银行,"Bank Julius Bear & Co.,Ltd",瑞士,花旗银行,2010/12/14
100,科提比资产运用株式会社,"KTB Asset Management Co.,Ltd",韩国,建设银行,2010/12/28
101,领先资产管理,Lyxor Asset Management,法国,建设银行,2011/2/16
102,元大证券投资信托股份有限公司,"Yuanta Securities Investment Trust Co.,Ltd.",台湾,农业银行,2011/3/4
103,忠利保险有限公司,Assicurazioni Generali S.p.A.,意大利,工商银行,2011/3/18
104,西班牙对外银行有限公司,"Banco Bilbao Vizcaya Argentaria, S.A.",西班牙,中信银行,2011/5/6
105,国泰证券投资信托股份有限公司,"Cathay Securities Investment Trust Co., Ltd.",台湾,农业银行,2011/6/9
106,复华证券投资信托股份有限公司,Fuh Hwa Securities Investment Trust Co. Ltd.,台湾,花旗银行,2011/6/9
107,亢简资产管理公司,Comgest S.A.,法国,德意志银行,2011/6/24
108,东方汇理资产管理香港有限公司,Amundi Hong Kong Limited,香港,建设银行,2011/7/14
109,贝莱德机构信托公司,"BlackRock Institutional Trust Company, N.A.",美国,花旗银行,2011/7/14
110,GMO有限责任公司,"Grantham, Mayo, Van Otterloo & Co.LLC",美国,汇丰银行,2011/8/9
111,新加坡金融管理局,Monetary Authority of Singapore,新加坡,汇丰银行,2011/10/8
